"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count","Total Cycle Count(ElectroPuls (10.0.0.2 : 1) Waveform)","Position (mm)","Force (N)","Cycle Energy(Energy Calculation) (J)","Velocity(Velocity Calculation) (m/s)","Acceleration(Acceleration Calculation) (m/s²)",
5.284,0,1,1,2,0,0,13.6088419795054,-20.08114053677,0,1.75081555E-06,0.002128780776,
5.285,0.00100000000000033,1,1,2,0,0,13.6088364475235,-20.1593383918743,1.11304800372658E-07,-1.511697E-07,0.002237055011,
5.286,0.00200000000000067,1,1,2,0,0,13.6088345249071,-20.1906120846806,1.50093538273661E-07,-2.77975508E-06,-0.000463254415,
5.287,0.00300000000000011,1,1,2,0,0,13.60884395451,-20.1517611175703,-4.01127417236916E-08,4.0023974E-07,-0.000668031281,
5.288,0.00400000000000045,1,1,2,0,0,13.6088581366455,-20.1198407750631,-3.25681398390926E-07,7.44969689E-06,0.002598259459,
5.289,0.00499999999999989,1,1,2,0,0,13.6088617687608,-20.0483904859156,-3.98629222676396E-07,9.59136966E-06,0.004416283137,
5.29,0.00600000000000023,1,1,2,0,0,13.6088520147795,-20.0271231343054,-2.03181316419098E-07,2.78129238E-06,0.000928483069,
5.291,0.00700000000000056,1,1,2,0,0,13.6088369383344,-20.1452271103111,9.96467999626427E-08,-7.33489146E-06,-0.005116384233,
5.292,0.00800000000000001,1,1,2,0,0,13.6088270264425,-20.1557951302376,2.99376487622075E-07,-1.193034E-05,-0.007468131282,
5.293,0.00900000000000034,1,1,2,0,0,13.6088188885059,-20.015094107396,4.6283056161968E-07,-1.092907127E-05,-0.004572653949,
5.294,0.0100000000000007,1,1,2,0,0,13.6088028387206,-19.8385223223295,7.8265155610385E-07,-1.10436778E-05,-0.001012509029,
5.295,0.0110000000000001,1,1,2,0,0,13.6087824092586,-19.8007212352423,1.18755576623666E-06,-1.49901337E-05,-0.000929398763,
5.296,0.0120000000000005,1,1,2,0,0,13.6087610758675,-19.8909963616588,1.61093523343466E-06,-1.938673772E-05,-0.002931945525,
5.297,0.0129999999999999,1,1,2,0,0,13.6087380946043,-20.0836997787565,2.07026974075951E-06,-2.1556574E-05,-0.003593529262,
5.298,0.0140000000000002,1,1,2,0,0,13.6087099563434,-20.2001089021037,2.63702789941721E-06,-2.403400088E-05,-0.002930143782,
5.299,0.0150000000000006,1,1,2,0,0,13.6086737533097,-20.1205210377642,3.36689246229297E-06,-2.901059343E-05,-0.003134899401,
5.3,0.016,1,1,2,0,0,13.6086303601998,-20.0076702406771,4.23753596868795E-06,-3.594062472E-05,-0.004812874471,
5.301,0.0170000000000003,1,1,2,0,0,13.6085739835619,-19.9986961455412,5.36524818527477E-06,-4.513114547E-05,-0.007022146506,
5.302,0.0180000000000007,1,1,2,0,0,13.6085022584671,-20.0122982809983,6.80014436929822E-06,-5.708611658E-05,-0.00934170902,
