"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count","Total Cycle Count(ElectroPuls (10.0.0.2 : 1) Waveform)","Position (mm)","Force (N)","Cycle Energy(Energy Calculation) (J)","Velocity(Velocity Calculation) (m/s)","Acceleration(Acceleration Calculation) (m/s²)",
5.242,0,1,1,2,0,0,-0.466327865435159,-19.8159384518765,0,-8.097455897E-07,0.00761410741381,
5.243,0.00100000000000033,1,1,2,0,0,-0.466303935839084,-19.8490527854301,-4.74583609316997E-07,1.44505293792E-05,0.01429805012516,
5.244,0.00199999999999978,1,1,2,0,0,-0.466289504661152,-19.9269026347312,-7.61590554346041E-07,1.90331881041E-05,0.01266574333274,
5.245,0.00300000000000011,1,1,2,0,0,-0.466289395552383,-20.064866340613,-7.63772280703776E-07,1.2984082626E-05,0.0045964143372,
5.246,0.00400000000000045,1,1,2,0,0,-0.466291318298288,-20.0775949605733,-7.25180404150417E-07,3.7961731157E-06,-0.00380121742686,
5.247,0.00499999999999989,1,1,2,0,0,-0.466296178404038,-19.9829366506355,-6.27831194138263E-07,-2.1943974563E-06,-0.00728706661915,
5.248,0.00600000000000023,1,1,2,0,0,-0.466314649155917,-19.8138864819188,-2.60292571315456E-07,-8.0620916352E-06,-0.00691290933556,
5.249,0.00699999999999967,1,1,2,0,0,-0.466347249121547,-19.6962052598491,3.83721245099519E-07,-1.86263221656E-05,-0.00731351800228,
5.25,0.00800000000000001,1,1,2,0,0,-0.466383520441842,-19.715004394828,1.09846954939605E-06,-2.94626079042E-05,-0.00923688618741,
5.251,0.00900000000000034,1,1,2,0,0,-0.466412873949471,-19.8488308904275,1.67913821983649E-06,-3.30945700957E-05,-0.00859337211201,
5.252,0.00999999999999979,1,1,2,0,0,-0.466429372018818,-19.8888247700035,2.00693551922581E-06,-2.75722199442E-05,-0.00304696555273,
5.253,0.0110000000000001,1,1,2,0,0,-0.466442304376735,-19.828563614883,2.26375526028288E-06,-1.92849874026E-05,0.00360552116563,
5.254,0.0120000000000005,1,1,2,0,0,-0.466456958834728,-19.8437468309484,2.554443363741E-06,-1.45187013688E-05,0.00640148387223,
5.255,0.0129999999999999,1,1,2,0,0,-0.466470696887589,-19.8421115964579,2.8270465741928E-06,-1.38629064306E-05,0.00458942265746,
5.256,0.0140000000000002,1,1,2,0,0,-0.466482123148991,-19.8266843545074,3.05367959021314E-06,-1.33194369629E-05,0.00185524462573,
5.257,0.0149999999999997,1,1,2,0,0,-0.466496374452488,-19.8446019019133,3.33636336049257E-06,-1.29673114682E-05,0.00051976391695,
5.258,0.016,1,1,2,0,0,-0.466519320918412,-19.90387711406,3.79240692013872E-06,-1.60123395966E-05,-0.00060961740033,
5.259,0.0170000000000003,1,1,2,0,0,-0.466543571027276,-19.7982997365582,4.27379797550962E-06,-2.07290100779E-05,-0.00252737474734,
5.26,0.0179999999999998,1,1,2,0,0,-0.466565297620407,-19.7266916480992,4.70316967866977E-06,-2.31019612621E-05,-0.0035120619863,
5.261,0.0190000000000001,1,1,2,0,0,-0.46659424004446,-19.8052506499199,5.27524479749619E-06,-2.46483971275E-05,-0.00282811237769,
5.262,0.0200000000000005,1,1,2,0,0,-0.466624650312991,-19.92461951086,5.8793428076233E-06,-2.72180281198E-05,-0.00210134899911,
5.263,0.0209999999999999,1,1,2,0,0,-0.466638856765944,-19.9735732814534,6.16274870703006E-06,-2.51087705142E-05,-0.00085900587486,
5.264,0.0220000000000002,1,1,2,0,0,-0.466634025704143,-19.8363983398496,6.06658649043444E-06,-1.33563432002E-05,0.00359854193875,
5.265,0.0229999999999997,1,1,2,0,0,-0.466625588886128,-19.6541015214729,5.89999941012385E-06,2.01534239E-07,0.00940111143904,
5.266,0.024,1,1,2,0,0,-0.466636621014745,-19.6711556636288,6.11692005769563E-06,1.5144071612E-06,0.00934274104654,
5.267,0.0250000000000004,1,1,2,0,0,-0.466662734546072,-20.0476995891359,6.63551984314819E-06,-9.7158654404E-06,0.00122343062016,
5.268,0.0259999999999998,1,1,2,0,0,-0.46667860943944,-20.3537217720406,6.9562039711681E-06,-1.85175191263E-05,-0.00673874326975,
5.269,0.0270000000000001,1,1,2,0,0,-0.466670602415164,-20.3057698450851,6.79342320295331E-06,-1.17819094625E-05,-0.0048690603557,
5.27,0.0280000000000005,1,1,2,0,0,-0.466654116279784,-20.2906047485323,6.4587845392055E-06,3.386182314E-06,0.0046041752927,
5.271,0.0289999999999999,1,1,2,0,0,-0.466651261729991,-20.2687474544287,6.40089519399678E-06,9.8529263727E-06,0.01002794282735,
5.272,0.0300000000000002,1,1,2,0,0,-0.466670928684788,-20.2574297244153,6.79940844131879E-06,1.875740921E-07,0.00423751947225,
5.273,0.0309999999999997,1,1,2,0,0,-0.466702646649789,-20.2206365179463,7.44134938552004E-06,-1.65258064812E-05,-0.00694013186662,
5.274,0.032,1,1,2,0,0,-0.466735068931357,-20.1238508430461,8.09537954998677E-06,-2.83139569099E-05,-0.01312140304211,
5.275,0.0330000000000004,1,1,2,0,0,-0.466763415985714,-20.0977735546241,8.66546183654615E-06,-3.09884184346E-05,-0.01053161280088,
5.276,0.0339999999999998,1,1,2,0,0,-0.466781119845123,-20.1814999793998,9.02201113442565E-06,-2.63766640359E-05,-0.00322270341888,
5.277,0.0350000000000001,1,1,2,0,0,-0.466790589590345,-20.3004345837493,9.21368793763296E-06,-1.84265836373E-05,0.00342738742165,
5.278,0.0360000000000005,1,1,2,0,0,-0.466799740287661,-20.1406635029965,9.39872006148752E-06,-1.18442651063E-05,0.00653825403835,
5.279,0.0369999999999999,1,1,2,0,0,-0.466814742369555,-20.0082772538148,9.69987891007813E-06,-1.10018270612E-05,0.00527068294551,
5.28,0.0380000000000003,1,1,2,0,0,-0.466821139164681,-20.1294706233192,9.82825538507455E-06,-1.06650804902E-05,0.00241269474864,
5.281,0.0389999999999997,1,1,2,0,0,-0.466802724949282,-20.2524066299969,9.45645509208481E-06,-1.5350779989E-06,0.00312643078932,
5.282,0.04,1,1,2,0,0,-0.466769758131404,-20.2474381264837,8.78887958900539E-06,1.53366929852E-05,0.00881455626305,
5.283,0.0410000000000004,1,1,2,0,0,-0.466741143641791,-20.1875990167374,8.21036561384934E-06,2.72953386545E-05,0.01307530284182,
5.284,0.0419999999999998,1,1,2,0,0,-0.466727574281236,-20.0676503670409,7.93724661727626E-06,2.5406649375E-05,0.0092783827791,
