phase,time_s,displacement_m,displacement_mm,force_n,position_mm_raw,force_n_raw,velocity_m_s,cycle_energy_j
0,0,0.000245038533836,0.245038533836,31.7261446586,-1.58285735885,-31.7261446586,0.00242738808063,-6.95700683738e-05
0.002,0.001002,0.000244812071397,0.244812071397,31.7230257207,-1.58263089641,-31.7230257207,0.00242769641191,-7.67699991873e-05
0.004,0.002004,0.000242417390282,0.242417390282,31.6768193969,-1.5802362153,-31.6768193969,0.00241084832152,-0.000152680708244
0.006,0.003006,0.000240051852562,0.240051852562,31.6524958395,-1.57787067758,-31.6524958395,0.00238808509314,-0.000227582285863
0.008,0.004008,0.000237714550546,0.237714550546,31.5908065271,-1.57553337556,-31.5908065271,0.00236103016741,-0.000301490432029
0.01,0.00501,0.000235400995497,0.235400995497,31.4729424034,-1.57321982051,-31.4729424034,0.00233392756677,-0.000374441687365
0.012,0.006012,0.00023311006467,0.23311006467,31.4039710994,-1.57092888968,-31.4039710994,0.00230922643615,-0.000446464139603
0.014,0.007014,0.000230837217955,0.230837217955,31.3852520803,-1.56865604297,-31.3852520803,0.0022876754297,-0.000517815656056
0.016,0.008016,0.000228575182706,0.228575182706,31.4094947588,-1.56639400772,-31.4094947588,0.00227045680427,-0.000588834724507
0.018,0.009018,0.000226316591798,0.226316591798,31.3702864696,-1.56413541681,-31.3702864696,0.0022597099358,-0.000659732002485
0.02,0.01002,0.000224056667617,0.224056667617,31.2295729126,-1.56187549263,-31.2295729126,0.00225551000855,-0.000730470565456
0.022,0.011022,0.000221795444662,0.221795444662,31.1105134933,-1.55961426968,-31.1105134933,0.00225540570391,-0.00080095715335
0.024,0.012024,0.000219532453187,0.219532453187,31.0355333901,-1.5573512782,-31.0355333901,0.00225685321552,-0.000871276623418
0.026,0.013026,0.00021727112955,0.21727112955,31.01914505,-1.55508995456,-31.01914505,0.00225744656029,-0.000941437801748
0.028,0.014028,0.00021501749229,0.21501749229,30.993481652,-1.5528363173,-30.993481652,0.00225499984581,-0.00101131238225
0.03,0.01503,0.000212775389174,0.212775389174,30.9297532557,-1.55059421419,-30.9297532557,0.00224796813371,-0.00108073023875
0.032,0.016032,0.000210545412687,0.210545412687,30.8876318994,-1.5483642377,-30.8876318994,0.00223742631723,-0.001149656502
0.034,0.017034,0.000208325647375,0.208325647375,30.8448438597,-1.54614447239,-30.8448438597,0.00222607553132,-0.00121817378769
0.036,0.018036,0.00020611566133,0.20611566133,30.769260365,-1.54393448634,-30.769260365,0.00221544328082,-0.00128625801833
0.038,0.019038,0.000203916701337,0.203916701337,30.6685444191,-1.54173552635,-30.6685444191,0.00220518044678,-0.00135380774937
0.04,0.02004,0.000201731664796,0.201731664796,30.5845462088,-1.53955048981,-30.5845462088,0.00219367826943,-0.00142072885822
0.042,0.021042,0.000199563754509,0.199563754509,30.533519858,-1.53738257952,-30.533519858,0.00217968485262,-0.00148698093157
0.044,0.022044,0.000197412888055,0.197412888055,30.5273745654,-1.53523171307,-30.5273745654,0.00216357229528,-0.00155264885543
0.046,0.023046,0.000195276563987,0.195276563987,30.4874900196,-1.533095389,-30.4874900196,0.00214728879383,-0.00161782059999
0.048,0.024048,0.000193153182787,0.193153182787,30.3987093239,-1.5309720078,-30.3987093239,0.00213250984534,-0.00168246016719
0.05,0.02505,0.000191044206656,0.191044206656,30.2892452158,-1.52886303167,-30.2892452158,0.00211867696466,-0.0017464530638
0.052,0.026052,0.000188952212161,0.188952212161,30.2295059984,-1.52677103717,-30.2295059984,0.0021039629693,-0.0018097554254
0.054,0.027054,0.000186876692359,0.186876692359,30.2233105666,-1.52469551737,-30.2233105666,0.00208793542984,-0.00187249046198
0.056,0.028056,0.000184814950452,0.184814950452,30.2490082326,-1.52263377547,-30.2490082326,0.00207215203954,-0.00193482634674
0.058,0.029058,0.000182765947319,0.182765947319,30.2511850997,-1.52058477233,-30.2511850997,0.00205790962804,-0.00199680460171
0.06,0.03006,0.000180730253179,0.180730253179,30.1722596484,-1.51854907819,-30.1722596484,0.00204471530699,-0.00205830382845
0.062,0.031062,0.00017871008267,0.17871008267,30.0877146761,-1.51652890768,-30.0877146761,0.00203093795092,-0.00211917080444
0.064,0.032064,0.000176706577815,0.176706577815,30.0117479256,-1.51452540283,-30.0117479256,0.0020157625406,-0.00217937456782
0.066,0.033066,0.000174718509727,0.174718509727,29.9680890644,-1.51253733474,-29.9680890644,0.00199983940715,-0.00223899353842
0.068,0.034068,0.000172743415002,0.172743415002,29.9305465714,-1.51056224002,-29.9305465714,0.00198480662291,-0.0022981422798
0.07,0.03507,0.000170780224378,0.170780224378,29.8503657526,-1.50859904939,-29.8503657526,0.00197144578883,-0.00235681955568
0.072,0.036072,0.000168826693314,0.168826693314,29.7410101732,-1.50664551833,-29.7410101732,0.00195992048286,-0.00241502485481
0.074,0.037074,0.000166879897429,0.166879897429,29.6456171333,-1.50469872244,-29.6456171333,0.00195048910043,-0.00247283425967
0.076,0.038076,0.00016494111245,0.16494111245,29.5766892244,-1.50275993746,-29.5766892244,0.0019425127578,-0.00253024978478
0.078,0.039078,0.000163015418384,0.163015418384,29.5270440113,-1.5008342434,-29.5270440113,0.00193337302097,-0.00258716480731
0.08,0.04008,0.000161107413578,0.161107413578,29.4565719684,-1.49892623859,-29.4565719684,0.00192044184607,-0.00264344196577
