phase,displacement_m,measured_force_n,simulated_force_n
0.000000000000000000e+00,2.495532280649048664e-04,1.192901361327994536e+01,7.743257045745849609e+00
2.000000000000000042e-03,2.471508555706845205e-04,1.193980728969051697e+01,7.711216430661000487e+00
4.000000000000000083e-03,2.447818011979323392e-04,1.209956664028145568e+01,7.643482265469314640e+00
6.000000000000000125e-03,2.424412474055501806e-04,1.214057973347243902e+01,7.576499042507911952e+00
8.000000000000000167e-03,2.401133683927298920e-04,1.196800852773608881e+01,7.509611740109235711e+00
1.000000000000000021e-02,2.377960591874876998e-04,1.182984241821379001e+01,7.442857265469339900e+00
1.200000000000000025e-02,2.354868040376554401e-04,1.187835847923158283e+01,7.375930252072107507e+00
1.400000000000000029e-02,2.331720800646701678e-04,1.198047269036697315e+01,7.308365478512484970e+00
1.600000000000000033e-02,2.308416761099427660e-04,1.197045941079913334e+01,7.239755725857394353e+00
1.800000000000000211e-02,2.284915779104057466e-04,1.174008587566707007e+01,7.169934539791658068e+00
2.000000000000000042e-02,2.261275026266553693e-04,1.149139081906399795e+01,7.099106693264524814e+00
2.199999999999999872e-02,2.237623296497632868e-04,1.131681922570599141e+01,7.027829036709365873e+00
2.400000000000000050e-02,2.214164907747560081e-04,1.124187045851867595e+01,6.956997680660810701e+00
2.600000000000000228e-02,2.190982878975757965e-04,1.122012481241922544e+01,6.886939697262367766e+00
2.800000000000000058e-02,2.168023268461583084e-04,1.121145157331039144e+01,6.817604179379093132e+00
2.999999999999999889e-02,2.145223716549711252e-04,1.125204134001752365e+01,6.748517799374228687e+00
3.200000000000000067e-02,2.122493547020007831e-04,1.122242643392455363e+01,6.679329738613708933e+00
3.400000000000000244e-02,2.099792283174934954e-04,1.111570084195709640e+01,6.610969505306952598e+00
3.600000000000000422e-02,2.077147688269664839e-04,1.091966661037403341e+01,6.544647541043049799e+00
3.799999999999999906e-02,2.054645582987011439e-04,1.081030230977326667e+01,6.478542594906591567e+00
4.000000000000000083e-02,2.032382143279491953e-04,1.076348519771140033e+01,6.413118934628298184e+00
4.200000000000000261e-02,2.010335630501516261e-04,1.075714831678284966e+01,6.348296813961814777e+00
4.399999999999999745e-02,1.988474652762415413e-04,1.067898052215201687e+01,6.283947391507007652e+00
4.599999999999999922e-02,1.966864977574793655e-04,1.056669724667967003e+01,6.220283069607639881e+00
4.800000000000000100e-02,1.945565566603018096e-04,1.050461281745370101e+01,6.157641372677745473e+00
5.000000000000000278e-02,1.924511827909918199e-04,1.047705205616709989e+01,6.095640659329356836e+00
