phase,time_s,displacement_m,displacement_mm,displacement_velocity_m_s,measured_force_n,raw_contact_force_n,sim_force_n,force_error_n,kh,kd,rigid_contact_count,pair_contact_count,active_pair_contact_count,pair_stiffness_sum,pair_depth_min_m,pair_depth_max_m,top_contact_force_n,top_solver_force_n,top_rigid_contact_count,top_pair_contact_count,top_active_pair_contact_count,top_pair_stiffness_sum,top_pair_depth_min_m,top_pair_depth_max_m,bottom_contact_force_n,bottom_solver_force_n,bottom_rigid_contact_count,bottom_pair_contact_count,bottom_active_pair_contact_count,bottom_pair_stiffness_sum,bottom_pair_depth_min_m,bottom_pair_depth_max_m,shoe_vertical_velocity_m_s,shoe_abs_vertical_velocity_m_s,shoe_angular_velocity_x_rad_s,shoe_angular_velocity_y_rad_s,shoe_angular_velocity_z_rad_s,shoe_angular_velocity_norm_rad_s,shoe_free_axis_angular_velocity_rad_s,shoe_abs_free_axis_angular_velocity_rad_s,indenter_platen_stop_active,indenter_command_z_m,indenter_applied_z_m,indenter_stop_z_m
0.0,0.0,0.000245038533836,0.24503853383599997,-0.00022601041816366934,31.7261446586,0.0,0.0,-31.7261446586,2000000.0,250.0,27,0,0,0.0,0.0,0.0,0.0,0.0,27,0,0,0.0,0.0,0.0,22.93700852540777,0.0,27,27,26,24618.57421875,-0.00676316162571311,0.00030926156614441425,-0.0009398153051733971,0.0009398153051733971,0.0,0.0,0.0,0.0,0.0,0.0,0,0.046494170887701816,0.046494170887701816,0.0001
0.002,0.001002,0.000244812071397,0.24481207139699998,-0.0013079558652694528,31.7230257207,0.0,0.0,-31.7230257207,2000000.0,250.0,27,0,0,0.0,0.0,0.0,0.0,0.0,27,0,0,0.0,0.0,0.0,22.832226659556444,0.0,27,27,26,24615.61328125,-0.006743463221937418,0.000313602780806832,-0.0028093960136175156,0.0028093960136175156,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04649439735014081,0.04649439735014081,0.0001
0.004,0.002004,0.000242417390282,0.242417390282,-0.0023753587000997917,31.6768193969,0.0,0.0,-31.6768193969,2000000.0,250.0,27,0,0,0.0,0.0,0.0,0.0,0.0,27,0,0,0.0,0.0,0.0,22.740311292046137,0.0,27,27,26,24611.15625,-0.006726080318912864,0.00031740246049594134,-0.004807060584425926,0.004807060584425926,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04649679203125581,0.04649679203125581,0.0001
0.006,0.003006,0.000240051852562,0.24005185256199998,-0.00234672641516967,31.6524958395,0.0,0.0,-31.6524958395,2000000.0,250.0,26,0,0,0.0,0.0,0.0,0.0,0.0,26,0,0,0.0,0.0,0.0,22.66243569417972,0.0,26,26,25,24640.0625,-0.006711237598210573,0.00032060680678114295,-0.006959212943911552,0.006959212943911552,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04649915756897582,0.04649915756897582,0.0001
0.008,0.004008,0.000237714550546,0.237714550546,-0.0023207869585828433,31.5908065271,0.0,0.0,-31.5908065271,2000000.0,250.0,25,0,0,0.0,0.0,0.0,0.0,0.0,25,0,0,0.0,0.0,0.0,22.600065277721228,0.0,25,25,24,24411.982421875,-0.006699260091409087,0.000323119864333421,-0.009488115087151527,0.009488115087151527,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04650149487099182,0.04650149487099182,0.0001
0.01,0.00501,0.000235400995497,0.235400995497,-0.002297647642714562,31.4729424034,0.0,0.0,-31.4729424034,2000000.0,250.0,25,0,0,0.0,0.0,0.0,0.0,0.0,25,0,0,0.0,0.0,0.0,22.578113824195857,0.0,25,25,24,24124.560546875,-0.006695223273709416,0.00032310538517776877,-0.019317753612995148,0.019317753612995148,0.0,0.0,0.0,0.0,0.0,0.0,0,0.046503808426040814,0.046503808426040814,0.0001
0.012,0.006012,0.00023311006467,0.23311006467,-0.002277334102794404,31.4039710994,0.0,0.0,-31.4039710994,2000000.0,250.0,27,0,0,0.0,0.0,0.0,0.0,0.0,27,0,0,0.0,0.0,0.0,22.617981292951814,0.0,27,27,25,44366.15234375,-0.006702987244352698,0.00032088458829093724,-0.024145599454641342,0.024145599454641342,0.0,0.0,0.0,0.0,0.0,0.0,0,0.046506099356867815,0.046506099356867815,0.0001
0.014,0.007014,0.000230837217955,0.230837217955,-0.002262915151696604,31.3852520803,0.0,0.0,-31.3852520803,2000000.0,250.0,27,0,0,0.0,0.0,0.0,0.0,0.0,27,0,0,0.0,0.0,0.0,22.66691264740769,0.0,27,27,26,24608.142578125,-0.006712335627526045,0.00031875762215349823,-0.02430693432688713,0.02430693432688713,0.0,0.0,0.0,0.0,0.0,0.0,0,0.046508372203582816,0.046508372203582816,0.0001
0.016,0.008016,0.000228575182706,0.228575182706,-0.0022558014755489075,31.4094947588,0.0,0.0,-31.4094947588,2000000.0,250.0,27,0,0,0.0,0.0,0.0,0.0,0.0,27,0,0,0.0,0.0,0.0,22.716714960100674,0.0,27,27,26,24609.919921875,-0.006721857935190201,0.0003165403613820672,-0.0249883234500885,0.0249883234500885,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04651063423883182,0.04651063423883182,0.0001
0.018,0.009018,0.000226316591798,0.22631659179799998,-0.002254748048403185,31.3702864696,0.0,0.0,-31.3702864696,2000000.0,250.0,27,0,0,0.0,0.0,0.0,0.0,0.0,27,0,0,0.0,0.0,0.0,22.771434887250432,0.0,27,27,26,24612.9609375,-0.0067322959657758474,0.00031406921334564686,-0.026134923100471497,0.026134923100471497,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04651289282973982,0.04651289282973982,0.0001
0.02,0.01002,0.000224056667617,0.224056667617,-0.0022560614451097583,31.2295729126,0.0,0.0,-31.2295729126,2000000.0,250.0,27,0,0,0.0,0.0,0.0,0.0,0.0,27,0,0,0.0,0.0,0.0,22.834240079965483,0.0,27,27,26,24614.177734375,-0.00674420571886003,0.00031122774817049503,-0.027638331055641174,0.027638331055641174,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04651515275392082,0.04651515275392082,0.0001
0.022,0.011022,0.000221795444662,0.22179544466200002,-0.002257592030938116,31.1105134933,0.0,0.0,-31.1105134933,2000000.0,250.0,27,0,0,0.0,0.0,0.0,0.0,0.0,27,0,0,0.0,0.0,0.0,22.907178109048253,0.0,27,27,26,24616.87109375,-0.006757994182407856,0.0003079319285461679,-0.02940879389643669,0.02940879389643669,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04651741397687582,0.04651741397687582,0.0001
0.024,0.012024,0.000219532453187,0.21953245318700002,-0.002257642271457097,31.0355333901,0.0,0.0,-31.0355333901,2000000.0,250.0,26,0,0,0.0,0.0,0.0,0.0,0.0,26,0,0,0.0,0.0,0.0,22.993133050018432,0.0,26,26,25,24673.009765625,-0.006774107692763209,0.00030407246958930045,-0.031517889350652695,0.031517889350652695,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04651967696835081,0.04651967696835081,0.0001
0.026,0.013026,0.00021727112955,0.21727112955,-0.002252974499501015,31.01914505,0.0,0.0,-31.01914505,2000000.0,250.0,27,0,0,0.0,0.0,0.0,0.0,0.0,27,0,0,0.0,0.0,0.0,23.09324011701791,0.0,27,27,26,24646.87890625,-0.0067927788477391005,0.0002996234834427014,-0.033700812608003616,0.033700812608003616,0.0,0.0,0.0,0.0,0.0,0.0,0,0.046521938291987815,0.046521938291987815,0.0001
0.028,0.014028,0.00021501749229,0.21501749229,-0.0022433834211576936,30.993481652,0.0,0.0,-30.993481652,2000000.0,250.0,28,0,0,0.0,0.0,0.0,0.0,0.0,28,0,0,0.0,0.0,0.0,23.20823289846439,0.0,28,28,26,44649.859375,-0.006814115215092897,0.0002945590968010947,-0.03595886752009392,0.03595886752009392,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04652419192924782,0.04652419192924782,0.0001
0.03,0.01503,0.000212775389174,0.212775389174,-0.002231576648203601,30.9297532557,0.0,0.0,-30.9297532557,2000000.0,250.0,28,0,0,0.0,0.0,0.0,0.0,0.0,28,0,0,0.0,0.0,0.0,23.318581354913494,0.0,28,28,27,24897.873046875,-0.006834093015640974,0.0002906210138462484,-0.029277393594384193,0.029277393594384193,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04652643403236382,0.04652643403236382,0.0001
0.032,0.016032,0.000210545412687,0.210545412687,-0.0022204300394211562,30.8876318994,0.0,0.0,-30.8876318994,2000000.0,250.0,28,0,0,0.0,0.0,0.0,0.0,0.0,28,0,0,0.0,0.0,0.0,23.36852276483653,0.0,28,28,27,24898.166015625,-0.0068430614192038774,0.0002892807824537158,-0.021661479026079178,0.021661479026079178,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04652866400885081,0.04652866400885081,0.0001
0.034,0.017034,0.000208325647375,0.208325647375,-0.002210454768962075,30.8448438597,0.0,0.0,-30.8448438597,2000000.0,250.0,28,0,0,0.0,0.0,0.0,0.0,0.0,28,0,0,0.0,0.0,0.0,23.369255314965084,0.0,28,28,27,24924.8515625,-0.006843112176284194,0.0002898118691518903,-0.015840092673897743,0.015840092673897743,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04653088377416281,0.04653088377416281,0.0001
0.036,0.018036,0.00020611566133,0.20611566133,-0.0022000728732534808,30.769260365,0.0,0.0,-30.769260365,2000000.0,250.0,28,0,0,0.0,0.0,0.0,0.0,0.0,28,0,0,0.0,0.0,0.0,23.33216671715943,0.0,28,28,27,24923.685546875,-0.006836325395852327,0.0002917786914622411,-0.011388632468879223,0.011388632468879223,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04653309376020782,0.04653309376020782,0.0001
0.038,0.019038,0.000203916701337,0.20391670133700002,-0.0021876230209580683,30.6685444191,0.0,0.0,-30.6685444191,2000000.0,250.0,27,0,0,0.0,0.0,0.0,0.0,0.0,27,0,0,0.0,0.0,0.0,23.266027940861846,0.0,27,27,26,24909.93359375,-0.006824271520599723,0.0002948549808934331,-0.007958590984344482,0.007958590984344482,0.0,0.0,0.0,0.0,0.0,0.0,0,0.046535292720200815,0.046535292720200815,0.0001
0.04,0.02004,0.000201731664796,0.20173166479600002,-0.0021721291556886235,30.5845462088,0.0,0.0,-30.5845462088,2000000.0,250.0,28,0,0,0.0,0.0,0.0,0.0,0.0,28,0,0,0.0,0.0,0.0,23.182390440726945,0.0,28,28,26,44650.2890625,-0.006808864651247859,0.0002983909362228587,-0.007882784120738506,0.007882784120738506,0.0,0.0,0.0,0.0,0.0,0.0,0,0.046537477756741816,0.046537477756741816,0.0001
0.042,0.021042,0.000199563754509,0.199563754509,-0.002155078214071862,30.533519858,0.0,0.0,-30.533519858,2000000.0,250.0,27,0,0,0.0,0.0,0.0,0.0,0.0,27,0,0,0.0,0.0,0.0,23.111000269357977,0.0,27,27,26,24667.53125,-0.006795685738325119,0.0003011804074048996,-0.010421168059110641,0.010421168059110641,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04653964566702882,0.04653964566702882,0.0001
0.044,0.022044,0.000197412888055,0.197412888055,-0.0021393166277444975,30.5273745654,0.0,0.0,-30.5273745654,2000000.0,250.0,27,0,0,0.0,0.0,0.0,0.0,0.0,27,0,0,0.0,0.0,0.0,23.056829575688475,0.0,27,27,26,24623.896484375,-0.006785651668906212,0.00030325261468533427,-0.01294679008424282,0.01294679008424282,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04654179653348282,0.04654179653348282,0.0001
0.046,0.023046,0.000195276563987,0.19527656398700002,-0.0021256014311377275,30.4874900196,0.0,0.0,-30.4874900196,2000000.0,250.0,27,0,0,0.0,0.0,0.0,0.0,0.0,27,0,0,0.0,0.0,0.0,23.01939806165067,0.0,27,27,26,24644.4453125,-0.006778720999136567,0.0003046173369511962,-0.015459534712135792,0.015459534712135792,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04654393285755082,0.04654393285755082,0.0001
0.048,0.024048,0.000193153182787,0.193153182787,-0.0021119547559880353,30.3987093239,0.0,0.0,-30.3987093239,2000000.0,250.0,27,0,0,0.0,0.0,0.0,0.0,0.0,27,0,0,0.0,0.0,0.0,22.998610912328388,0.0,27,27,26,24620.671875,-0.006774886744096875,0.0003052769461646676,-0.017962664365768433,0.017962664365768433,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04654605623875081,0.04654605623875081,0.0001
0.05,0.02505,0.000191044206656,0.191044206656,-0.002096292727544913,30.2892452158,0.0,0.0,-30.2892452158,2000000.0,250.0,26,0,0,0.0,0.0,0.0,0.0,0.0,26,0,0,0.0,0.0,0.0,22.994369973308658,0.0,26,26,25,24673.330078125,-0.006774133536964655,0.00030523305758833885,-0.02045927755534649,0.02045927755534649,0.0,0.0,0.0,0.0,0.0,0.0,0,0.046548165214881816,0.046548165214881816,0.0001
0.052,0.026052,0.000188952212161,0.188952212161,-0.002079597952594797,30.2295059984,0.0,0.0,-30.2295059984,2000000.0,250.0,27,0,0,0.0,0.0,0.0,0.0,0.0,27,0,0,0.0,0.0,0.0,23.006502170743637,0.0,27,27,26,24621.775390625,-0.006776432506740093,0.00030449347104877234,-0.022951815277338028,0.022951815277338028,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04655025720937681,0.04655025720937681,0.0001
0.054,0.027054,0.000186876692359,0.186876692359,-0.002064501850798414,30.2233105666,0.0,0.0,-30.2233105666,2000000.0,250.0,27,0,0,0.0,0.0,0.0,0.0,0.0,27,0,0,0.0,0.0,0.0,23.034963772236424,0.0,27,27,26,24664.32421875,-0.006781777134165168,0.00030305875407066196,-0.025442462414503098,0.025442462414503098,0.0,0.0,0.0,0.0,0.0,0.0,0,0.046552332729178816,0.046552332729178816,0.0001
0.056,0.028056,0.000184814950452,0.184814950452,-0.0020512699800399187,30.2490082326,0.0,0.0,-30.2490082326,2000000.0,250.0,27,0,0,0.0,0.0,0.0,0.0,0.0,27,0,0,0.0,0.0,0.0,23.079812090309815,0.0,27,27,26,24646.5234375,-0.006790153449401259,0.00030093245732132345,-0.027933092787861824,0.027933092787861824,0.0,0.0,0.0,0.0,0.0,0.0,0,0.046554394471085815,0.046554394471085815,0.0001
0.058,0.029058,0.000182765947319,0.182765947319,-0.002038272092315385,30.2511850997,0.0,0.0,-30.2511850997,2000000.0,250.0,27,0,0,0.0,0.0,0.0,0.0,0.0,27,0,0,0.0,0.0,0.0,23.14095648178643,0.0,27,27,26,24647.400390625,-0.006801551207900047,0.00029811635613441467,-0.03042524680495262,0.03042524680495262,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04655644347421881,0.04655644347421881,0.0001
0.06,0.03006,0.000180730253179,0.180730253179,-0.0020238845553892243,30.1722596484,0.0,0.0,-30.1722596484,2000000.0,250.0,27,0,0,0.0,0.0,0.0,0.0,0.0,27,0,0,0.0,0.0,0.0,23.218827237198596,0.0,27,27,25,44680.2578125,-0.006815965985879302,0.0002946120366686955,-0.03292028605937958,0.03292028605937958,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04655847916835881,0.04655847916835881,0.0001
0.062,0.031062,0.00017871008267,0.17871008267,-0.0020078220379241563,30.0877146761,0.0,0.0,-30.0877146761,2000000.0,250.0,28,0,0,0.0,0.0,0.0,0.0,0.0,28,0,0,0.0,0.0,0.0,23.278867909410312,0.0,28,28,27,24895.0703125,-0.006826801225543022,0.0002928841859102249,-0.024771209806203842,0.024771209806203842,0.0,0.0,0.0,0.0,0.0,0.0,0,0.046560499338867814,0.046560499338867814,0.0001
0.064,0.032064,0.000176706577815,0.176706577815,-0.0019918028657684578,30.0117479256,0.0,0.0,-30.0117479256,2000000.0,250.0,27,0,0,0.0,0.0,0.0,0.0,0.0,27,0,0,0.0,0.0,0.0,23.287401278333896,0.0,27,27,26,24910.490234375,-0.0068282627034932375,0.0002931177878053859,-0.018594343215227127,0.018594343215227127,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04656250284372281,0.04656250284372281,0.0001
0.066,0.033066,0.000174718509727,0.174718509727,-0.001977626154191628,29.9680890644,0.0,0.0,-29.9680890644,2000000.0,250.0,27,0,0,0.0,0.0,0.0,0.0,0.0,27,0,0,0.0,0.0,0.0,23.256435092379434,0.0,27,27,26,24909.537109375,-0.006822565803304315,0.0002948547335108742,-0.01387062855064869,0.01387062855064869,0.0,0.0,0.0,0.0,0.0,0.0,0,0.046564490911810814,0.046564490911810814,0.0001
0.068,0.034068,0.000172743415002,0.172743415002,-0.0019652122500000008,29.9305465714,0.0,0.0,-29.9305465714,2000000.0,250.0,27,0,0,0.0,0.0,0.0,0.0,0.0,27,0,0,0.0,0.0,0.0,23.200117861783667,0.0,27,27,25,44679.96484375,-0.006812194362282753,0.00029729313973803073,-0.013209747150540352,0.013209747150540352,0.0,0.0,0.0,0.0,0.0,0.0,0,0.046566466006535814,0.046566466006535814,0.0001
0.07,0.03507,0.000170780224378,0.170780224378,-0.0019544519401197558,29.8503657526,0.0,0.0,-29.8503657526,2000000.0,250.0,27,0,0,0.0,0.0,0.0,0.0,0.0,27,0,0,0.0,0.0,0.0,23.154462970407277,0.0,27,27,26,24648.248046875,-0.006803800584748387,0.0002989910281030461,-0.01576591655611992,0.01576591655611992,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04656842919715982,0.04656842919715982,0.0001
0.072,0.036072,0.000168826693314,0.168826693314,-0.0019462709326347333,29.7410101732,0.0,0.0,-29.7410101732,2000000.0,250.0,27,0,0,0.0,0.0,0.0,0.0,0.0,27,0,0,0.0,0.0,0.0,23.125746873339782,0.0,27,27,26,24647.091796875,-0.006798518588766456,0.000299980107229203,-0.018304994329810143,0.018304994329810143,0.0,0.0,0.0,0.0,0.0,0.0,0,0.046570382728223815,0.046570382728223815,0.0001
0.074,0.037074,0.000166879897429,0.166879897429,-0.0019389126067864276,29.6456171333,0.0,0.0,-29.6456171333,2000000.0,250.0,27,0,0,0.0,0.0,0.0,0.0,0.0,27,0,0,0.0,0.0,0.0,23.1136827169347,0.0,27,27,26,24648.005859375,-0.006796315545216203,0.00030026740569155663,-0.02083168365061283,0.02083168365061283,0.0,0.0,0.0,0.0,0.0,0.0,0,0.046572329524108814,0.046572329524108814,0.0001
