phase,time_s,displacement_m,displacement_mm,force_n,position_mm_raw,force_n_raw,velocity_m_s,cycle_energy_j
0.000000000000000000e+00,0.000000000000000000e+00,2.441212742355274370e-04,2.441212742355274301e-01,3.175343509097700689e+01,-1.581993682939198953e+00,-3.175343509097700689e+01,-2.386841347165807176e-03,-6.805573914903106925e-05
2.000000000000000042e-03,1.000222222222223742e-03,2.417339024791733673e-04,2.417339024791733681e-01,3.169742237759056991e+01,-1.579606311182844891e+00,-3.169742237759056991e+01,-2.372895815592135360e-03,-1.437952577916734804e-04
4.000000000000000083e-03,2.000444444444447484e-03,2.393744279839806822e-04,2.393744279839806754e-01,3.163103593169756778e+01,-1.577246836687652198e+00,-3.163103593169756778e+01,-2.345659196469992991e-03,-2.185047768289449278e-04
6.000000000000000125e-03,3.000666666666671010e-03,2.370415415710349619e-04,2.370415415710349638e-01,3.154631589539182457e+01,-1.574913950274706487e+00,-3.154631589539182457e+01,-2.319496144892727041e-03,-2.921976849219461527e-04
8.000000000000000167e-03,4.000888888888894969e-03,2.347344048070196980e-04,2.347344048070197087e-01,3.145148085037505581e+01,-1.572606813510691204e+00,-3.145148085037505581e+01,-2.294254399495807006e-03,-3.648716919422530713e-04
1.000000000000000021e-02,5.001111111111118494e-03,2.324520131034213323e-04,2.324520131034213399e-01,3.139644715054915380e+01,-1.570324421807092863e+00,-3.139644715054915380e+01,-2.271916560160291976e-03,-4.365936678175246269e-04
1.200000000000000025e-02,6.001333333333342020e-03,2.301895619460057071e-04,2.301895619460057052e-01,3.136473870574919331e+01,-1.568061970649677228e+00,-3.136473870574919331e+01,-2.254545791109924258e-03,-5.075869045580340281e-04
1.400000000000000029e-02,7.001555555555565545e-03,2.279419195008498692e-04,2.279419195008498822e-01,3.135641932884486494e+01,-1.565814328204521377e+00,-3.135641932884486494e+01,-2.243222427106450478e-03,-5.780681921019114678e-04
1.600000000000000033e-02,8.001777777777789938e-03,2.257021201040474367e-04,2.257021201040474434e-01,3.132343606537002145e+01,-1.563574528807718966e+00,-3.132343606537002145e+01,-2.238546728747847769e-03,-6.482584978750775091e-04
1.800000000000000211e-02,9.002000000000013463e-03,2.234638311336969389e-04,2.234638311336969441e-01,3.121077071991379626e+01,-1.561336239837368467e+00,-3.121077071991379626e+01,-2.237589033721343323e-03,-7.182419159886188273e-04
2.000000000000000042e-02,1.000222222222223699e-02,2.212259475525897470e-04,2.212259475525897578e-01,3.111139415214603332e+01,-1.559098356256261253e+00,-3.111139415214603332e+01,-2.237911389292274178e-03,-7.879783439085933858e-04
2.199999999999999872e-02,1.100244444444446051e-02,2.189870137278282503e-04,2.189870137278282503e-01,3.104615753024074820e+01,-1.556859422431499773e+00,-3.104615753024074820e+01,-2.238515101418564468e-03,-8.575627460120849787e-04
2.400000000000000050e-02,1.200266666666668404e-02,2.167479224541519805e-04,2.167479224541519756e-01,3.104507398873771251e+01,-1.554620331157823498e+00,-3.104507398873771251e+01,-2.236451116969850883e-03,-9.270761938384469063e-04
2.600000000000000228e-02,1.300288888888890930e-02,2.145131175156143161e-04,2.145131175156143044e-01,3.103092916543121405e+01,-1.552385526219285827e+00,-3.103092916543121405e+01,-2.229687994306644994e-03,-9.964385871883965282e-04
2.800000000000000058e-02,1.400311111111113109e-02,2.122875554930967476e-04,2.122875554930967468e-01,3.094812917117315720e+01,-1.550159964196768270e+00,-3.094812917117315720e+01,-2.219049002565656736e-03,-1.065406032577643786e-03
2.999999999999999889e-02,1.500333333333335462e-02,2.100740332664818898e-04,2.100740332664818855e-01,3.087497231939523346e+01,-1.547946441970153408e+00,-3.087497231939523346e+01,-2.207552384951710911e-03,-1.133829154931959883e-03
3.200000000000000067e-02,1.600355555555557988e-02,2.078714695887999900e-04,2.078714695887999842e-01,3.083270278830049804e+01,-1.545743878292471507e+00,-3.083270278830049804e+01,-2.196906212429738936e-03,-1.201787684797364381e-03
3.400000000000000244e-02,1.700377777777780514e-02,2.056792444388613305e-04,2.056792444388613195e-01,3.079208717085346336e+01,-1.543551653142532842e+00,-3.079208717085346336e+01,-2.185964669960391293e-03,-1.269337035456607208e-03
3.600000000000000422e-02,1.800400000000002693e-02,2.034985687090258447e-04,2.034985687090258566e-01,3.070589414069461753e+01,-1.541370977412697352e+00,-3.070589414069461753e+01,-2.173622675572473018e-03,-1.336392482371645497e-03
3.799999999999999906e-02,1.900422222222224872e-02,2.013310330331938975e-04,2.013310330331938847e-01,3.061675851601497911e+01,-1.539203441736865408e+00,-3.061675851601497911e+01,-2.160218048932655011e-03,-1.402854936003721832e-03
4.000000000000000083e-02,2.000444444444447398e-02,1.991771725142499360e-04,1.991771725142499339e-01,3.056622039119205780e+01,-1.537049581217921457e+00,-3.056622039119205780e+01,-2.145924117660402697e-03,-1.468748629842823485e-03
4.200000000000000261e-02,2.100466666666669924e-02,1.970382310538207902e-04,1.970382310538207893e-01,3.055801267502508622e+01,-1.534910639757492312e+00,-3.055801267502508622e+01,-2.131267739974115893e-03,-1.534120218983930093e-03
4.399999999999999745e-02,2.200488888888892103e-02,1.949136898041950016e-04,1.949136898041949895e-01,3.052996575189448336e+01,-1.532786098507866512e+00,-3.052996575189448336e+01,-2.118464207596856830e-03,-1.599010757065925025e-03
4.599999999999999922e-02,2.300511111111114282e-02,1.928003610989792471e-04,1.928003610989792449e-01,3.044335090594947602e+01,-1.530672769802650768e+00,-3.044335090594947602e+01,-2.107422418598972613e-03,-1.663437111393016588e-03
4.800000000000000100e-02,2.400533333333336808e-02,1.906979083348110476e-04,1.906979083348110393e-01,3.032653280276887742e+01,-1.528570317038482562e+00,-3.032653280276887742e+01,-2.094863323706244729e-03,-1.727318147510250148e-03
5.000000000000000278e-02,2.500555555555559334e-02,1.886097034012006581e-04,1.886097034012006457e-01,3.023965300437002313e+01,-1.526482112104872169e+00,-3.023965300437002313e+01,-2.079209242796462020e-03,-1.790555250541470264e-03
5.200000000000000455e-02,2.600577777777781860e-02,1.865385657562213125e-04,1.865385657562213251e-01,3.021512502930353961e+01,-1.524410974459892820e+00,-3.021512502930353961e+01,-2.061872028347122576e-03,-1.853160316559567368e-03
5.399999999999999939e-02,2.700600000000004039e-02,1.844850429569382382e-04,1.844850429569382388e-01,3.026626973983627522e+01,-1.522357451660609762e+00,-3.026626973983627522e+01,-2.045420771249598091e-03,-1.915259694731743373e-03
5.600000000000000117e-02,2.800622222222226218e-02,1.824468151378237841e-04,1.824468151378237923e-01,3.030971951223698113e+01,-1.520319223841495315e+00,-3.030971951223698113e+01,-2.031380145718422736e-03,-1.976992712252152989e-03
