phase,time_s,displacement_m,displacement_mm,force_n,position_mm_raw,force_n_raw,velocity_m_s,cycle_energy_j
0.000000000000000000e+00,0.000000000000000000e+00,2.495532280649048664e-04,2.495532280649048751e-01,3.160333771267885083e+01,-1.586743900444679944e+00,-3.160333771267885083e+01,-2.402372494220344611e-03,-7.638454988523335487e-05
2.000000000000000042e-03,1.000000000000000454e-03,2.471508555706845205e-04,2.471508555706845300e-01,3.161413138908942244e+01,-1.584341527950459572e+00,-3.161413138908942244e+01,-2.385713433486272295e-03,-1.523249765684269418e-04
4.000000000000000083e-03,2.000000000000000909e-03,2.447818011979323392e-04,2.447818011979323305e-01,3.177389073968036115e+01,-1.581972473577707428e+00,-3.177389073968036115e+01,-2.354804082567177326e-03,-2.274054475606935254e-04
6.000000000000000125e-03,3.000000000000001363e-03,2.424412474055501806e-04,2.424412474055501754e-01,3.181490383287134449e+01,-1.579631919785325245e+00,-3.181490383287134449e+01,-2.334216402601216322e-03,-3.018167226826930379e-04
8.000000000000000167e-03,4.000000000000001818e-03,2.401133683927298920e-04,2.401133683927298978e-01,3.164233262713499428e+01,-1.577304040772504967e+00,-3.164233262713499428e+01,-2.322594109031239640e-03,-3.756755905472371529e-04
1.000000000000000021e-02,5.000000000000002706e-03,2.377960591874876998e-04,2.377960591874876961e-01,3.150416651761269549e+01,-1.574986731567262765e+00,-3.150416651761269549e+01,-2.313282177537220874e-03,-4.488404839549527104e-04
1.200000000000000025e-02,6.000000000000002727e-03,2.354868040376554401e-04,2.354868040376554283e-01,3.155268257863048831e+01,-1.572677476417430498e+00,-3.155268257863048831e+01,-2.311989561408767102e-03,-5.216473962121719867e-04
1.400000000000000029e-02,7.000000000000003615e-03,2.331720800646701678e-04,2.331720800646701619e-01,3.165479678976587863e+01,-1.570362752444445231e+00,-3.165479678976587863e+01,-2.322563963856327796e-03,-5.948011626061731547e-04
1.600000000000000033e-02,8.000000000000003636e-03,2.308416761099427660e-04,2.308416761099427728e-01,3.164478351019803881e+01,-1.568032348489717842e+00,-3.164478351019803881e+01,-2.340251077132218804e-03,-6.685587500783866412e-04
1.800000000000000211e-02,9.000000000000004524e-03,2.284915779104057466e-04,2.284915779104057520e-01,3.141440997506597554e+01,-1.565682250290180821e+00,-3.141440997506597554e+01,-2.357086741643699135e-03,-7.426576366640100062e-04
2.000000000000000042e-02,1.000000000000000541e-02,2.261275026266553693e-04,2.261275026266553745e-01,3.116571491846290343e+01,-1.563318175006430444e+00,-3.116571491846290343e+01,-2.364624130321207884e-03,-8.166304090055152669e-04
2.199999999999999872e-02,1.100000000000000457e-02,2.237623296497632868e-04,2.237623296497632808e-01,3.099114332510489689e+01,-1.560953002029538350e+00,-3.099114332510489689e+01,-2.355505925949699653e-03,-8.901362853635500947e-04
2.400000000000000050e-02,1.200000000000000545e-02,2.214164907747560081e-04,2.214164907747560029e-01,3.091619455791758142e+01,-1.558607163154531072e+00,-3.091619455791758142e+01,-2.332020876093743311e-03,-9.627481080655942661e-04
