phase,time_s,displacement_m,displacement_mm,force_n,position_mm_raw,force_n_raw,velocity_m_s,cycle_energy_j
0,0,0.000274220512207,0.274220512207,34.3847674727,12.6213420001,-34.3847674727,-0.00055291101678,1.48806076613e-05
0.002,0.001002,0.0002742623135,0.2742623135,34.3886596474,12.6213001988,-34.3886596474,-0.000543935865449,1.63209463979e-05
0.004,0.002004,0.000274676276165,0.274676276165,34.3488096462,12.6208862361,-34.3488096462,-0.000476061691311,3.05510236927e-05
0.006,0.003006,0.000275040504273,0.275040504273,34.2748567543,12.620522008,-34.2748567543,-0.000416289212518,4.30504208249e-05
0.008,0.004008,0.000275365710493,0.275365710493,34.2268402103,12.6201968018,-34.2268402103,-0.000366617375888,5.41901981716e-05
0.01,0.00501,0.000275658696031,0.275658696031,34.233291694,12.6199038163,-34.233291694,-0.000326520478269,6.42199155802e-05
0.012,0.006012,0.000275919908448,0.275919908448,34.2425411622,12.6196426039,-34.2425411622,-0.000292470274271,7.31647135067e-05
0.014,0.007014,0.000276147373811,0.276147373811,34.2187478687,12.6194151385,-34.2187478687,-0.000260034413332,8.09529994626e-05
0.016,0.008016,0.000276338655967,0.276338655967,34.1971116468,12.6192238563,-34.1971116468,-0.00022621183915,8.7498713809e-05
0.018,0.009018,0.000276493630433,0.276493630433,34.2031500319,12.6190688819,-34.2031500319,-0.000190789747931,9.27997157875e-05
0.02,0.01002,0.000276614555924,0.276614555924,34.2392095395,12.6189479564,-34.2392095395,-0.000155269571406,9.69372209398e-05
0.022,0.011022,0.000276704035358,0.276704035358,34.2861077631,12.618858477,-34.2861077631,-0.00012139632932,0.000100002036905
0.024,0.012024,0.000276765684524,0.276765684524,34.3004477731,12.6187968278,-34.3004477731,-9.03222514166e-05,0.000102115018395
0.026,0.013026,0.000276806536354,0.276806536354,34.259070434,12.618755976,-34.259070434,-6.35806103816e-05,0.000103514383401
0.028,0.014028,0.000276834877972,0.276834877972,34.2026685012,12.6187276343,-34.2026685012,-4.32155795989e-05,0.00010448415722
0.03,0.01503,0.000276855454095,0.276855454095,34.183682163,12.6187070582,-34.183682163,-2.96837971059e-05,0.000105187813174
0.032,0.016032,0.000276870551735,0.276870551735,34.1864359695,12.6186919606,-34.1864359695,-2.1205682168e-05,0.000105703057265
0.034,0.017034,0.000276881403525,0.276881403525,34.1943784544,12.6186811088,-34.1943784544,-1.54262681105e-05,0.000106072692973
0.036,0.018036,0.000276890318781,0.276890318781,34.1821307963,12.6186721935,-34.1821307963,-1.15146440585e-05,0.00010637701441
0.038,0.019038,0.000276898203597,0.276898203597,34.1542678966,12.6186643087,-34.1542678966,-9.16546720959e-06,0.000106647154558
0.04,0.02004,0.000276906378906,0.276906378906,34.1615362405,12.6186561334,-34.1615362405,-8.26350158178e-06,0.000106927400812
0.042,0.021042,0.000276914149132,0.276914149132,34.2330760007,12.6186483632,-34.2330760007,-7.95081146592e-06,0.000107193241184
0.044,0.022044,0.000276917727115,0.276917727115,34.2922009992,12.6186447852,-34.2922009992,-6.61696294291e-06,0.000107315580325
0.046,0.023046,0.000276916187167,0.276916187167,34.3069899832,12.6186463251,-34.3069899832,-3.28421238177e-06,0.000107262775348
0.048,0.024048,0.000276911147791,0.276911147791,34.2782156038,12.6186513645,-34.2782156038,1.06167013337e-06,0.000107090261991
0.05,0.02505,0.000276904153292,0.276904153292,34.2564488708,12.618658359,-34.2564488708,4.57303819718e-06,0.000106851030929
0.052,0.026052,0.0002768974882,0.2768974882,34.2609064477,12.6186650241,-34.2609064477,6.29882035779e-06,0.000106622924958
0.054,0.027054,0.000276892818519,0.276892818519,34.2671559566,12.6186696938,-34.2671559566,6.15093206014e-06,0.000106462124769
0.056,0.028056,0.000276887886738,0.276887886738,34.2869820641,12.6186746256,-34.2869820641,5.33385071132e-06,0.000106291944495
0.058,0.029058,0.000276879656639,0.276879656639,34.3078151193,12.6186828557,-34.3078151193,5.83395618751e-06,0.000106009077265
0.06,0.03006,0.000276866789418,0.276866789418,34.3199794653,12.6186957229,-34.3199794653,8.62256704329e-06,0.000105568038898
0.062,0.031062,0.000276851800977,0.276851800977,34.3204370462,12.6187107113,-34.3204370462,1.2096089409e-05,0.000105054486908
0.064,0.032064,0.000276838243928,0.276838243928,34.3353338792,12.6187242684,-34.3353338792,1.38965289515e-05,0.000104589014598
