phase,displacement_m,measured_force_n,simulated_force_n
0.000000000000000000e+00,2.744782366574512146e-04,1.437919950276438286e+01,6.230297088623046875e+00
2.000000000000000042e-03,2.748498965637509450e-04,1.437775442600576881e+01,6.247265186311436125e+00
4.000000000000000083e-03,2.751813534880014501e-04,1.434527115872782943e+01,6.281422328950523770e+00
6.000000000000000125e-03,2.754788628310009908e-04,1.431849690947244014e+01,6.314226284028586988e+00
8.000000000000000167e-03,2.757442832813001860e-04,1.429302141767164258e+01,6.345772705079558484e+00
1.000000000000000021e-02,2.759741820933996146e-04,1.423775726192699054e+01,6.375937652589252380e+00
1.200000000000000025e-02,2.761648197476507488e-04,1.414520625830680345e+01,6.404673061372139209e+00
1.400000000000000029e-02,2.763171474824019868e-04,1.409687065391988270e+01,6.431934814454352889e+00
1.600000000000000033e-02,2.764388712166017349e-04,1.410772306043490332e+01,6.458019657136185643e+00
1.800000000000000211e-02,2.765403385879512200e-04,1.415524110325511842e+01,6.483143558503330794e+00
2.000000000000000042e-02,2.766212237220511453e-04,1.419687500675823699e+01,6.507445335389265395e+00
2.199999999999999872e-02,2.766750374211000081e-04,1.416942427129237458e+01,6.530558605195130539e+00
2.400000000000000050e-02,2.767013762995507295e-04,1.406683167659628353e+01,6.552656879426036696e+00
2.600000000000000228e-02,2.767083773659511172e-04,1.395975326141595829e+01,6.573862323761969328e+00
2.800000000000000058e-02,2.767093486276017591e-04,1.394616786009297371e+01,6.594681491852776745e+00
2.999999999999999889e-02,2.767115119555007934e-04,1.408939061723279096e+01,6.615165901185031672e+00
3.200000000000000067e-02,2.767125132011010033e-04,1.422576134125940328e+01,6.635384006501182874e+00
3.400000000000000244e-02,2.767102907444005588e-04,1.426176595175805417e+01,6.655337944031688657e+00
3.600000000000000422e-02,2.767066919160505946e-04,1.422973852501538872e+01,6.674943943024598703e+00
3.799999999999999906e-02,2.767087001846011297e-04,1.423085830383473294e+01,6.694471511841736167e+00
4.000000000000000083e-02,2.767162434052501500e-04,1.428726627790124226e+01,6.713915157319020999e+00
4.200000000000000261e-02,2.767208475036007117e-04,1.429940384655193597e+01,6.733011531830728202e+00
4.399999999999999745e-02,2.767206331121521072e-04,1.431915522266247720e+01,6.751811828614146194e+00
4.599999999999999922e-02,2.767171912979513840e-04,1.427845879256826223e+01,6.770233478546996864e+00
4.800000000000000100e-02,2.767105812380510148e-04,1.421503038108088290e+01,6.788308639527211419e+00
5.000000000000000278e-02,2.767037525860516342e-04,1.414494185566195839e+01,6.806157112122416031e+00
5.200000000000000455e-02,2.766982711719521070e-04,1.408826676949941614e+01,6.823876647950057439e+00
5.399999999999999939e-02,2.766936483815509796e-04,1.411372164163032394e+01,6.841285686493739249e+00
5.600000000000000117e-02,2.766874218735005048e-04,1.420826404574866686e+01,6.858474998474930473e+00
5.800000000000000294e-02,2.766755447298017284e-04,1.423155196644966836e+01,6.875354480744197971e+00
5.999999999999999778e-02,2.766639453566508344e-04,1.414268684797665188e+01,6.891964340210751772e+00
6.199999999999999956e-02,2.766628960514516808e-04,1.413526268024556387e+01,6.908728332520333026e+00
6.400000000000000133e-02,2.766710911649514909e-04,1.424570550144848013e+01,6.925497455597716012e+00
6.600000000000000311e-02,2.766741803981514146e-04,1.437594871948129693e+01,6.941828575135030377e+00
6.800000000000000488e-02,2.766533150564516532e-04,1.451178462996214691e+01,6.957330913544412354e+00
7.000000000000000666e-02,2.766070502623509792e-04,1.452069182854854645e+01,6.971914958954538832e+00
7.200000000000000844e-02,2.765535710071507082e-04,1.450107560096154558e+01,6.986143264771191852e+00
7.399999999999999634e-02,2.765141807147521928e-04,1.449523185848279994e+01,7.000417404175520275e+00
7.599999999999999811e-02,2.764995500884524196e-04,1.456284164820406701e+01,7.015338211060283768e+00
7.799999999999999989e-02,2.765036949364017100e-04,1.463652137592550062e+01,7.032713298798491053e+00
8.000000000000000167e-02,2.765103592123008486e-04,1.466298790400948704e+01,7.050888633728900956e+00
8.200000000000000344e-02,2.765060356660011703e-04,1.461099585073123208e+01,7.068554725647815395e+00
8.400000000000000522e-02,2.764879151607502520e-04,1.452060721224478002e+01,7.085669307709551390e+00
8.600000000000000699e-02,2.764656218547507883e-04,1.454016732173969828e+01,7.102393741608467259e+00
8.799999999999999489e-02,2.764466122381019743e-04,1.461672092685822477e+01,7.118962383271065342e+00
8.999999999999999667e-02,2.764348690613509761e-04,1.471196936192908211e+01,7.138644599915643596e+00
9.199999999999999845e-02,2.764288815437510320e-04,1.466274775622096271e+01,7.161367950440542529e+00
9.400000000000000022e-02,2.764208137732495642e-04,1.454204728526471158e+01,7.183660888672949163e+00
9.600000000000000200e-02,2.764069850483003975e-04,1.449577022686750283e+01,7.205620708466629054e+00
9.800000000000000377e-02,2.763932239967506130e-04,1.446451152690298514e+01,7.227244987488845140e+00
1.000000000000000056e-01,2.763903865425518746e-04,1.436009604736078771e+01,7.248936653138268404e+00
1.020000000000000073e-01,2.763980392998526166e-04,1.429427522031167186e+01,7.270703468323810092e+00
1.040000000000000091e-01,2.764028792435518000e-04,1.435917061592366295e+01,7.292098941804010082e+00
1.059999999999999970e-01,2.763940780472502593e-04,1.442437491900537694e+01,7.312794265748067346e+00
1.079999999999999988e-01,2.763746648173501718e-04,1.439192041119952492e+01,7.332961940766354658e+00
1.100000000000000006e-01,2.763573660742011415e-04,1.436184927381038179e+01,7.352927398682614246e+00
1.120000000000000023e-01,2.763557615432503823e-04,1.436535502212209181e+01,7.373119277955096251e+00
1.140000000000000041e-01,2.763714338143010785e-04,1.441576804002572842e+01,7.393565807343535745e+00
1.160000000000000059e-01,2.763935555882515065e-04,1.445718985407100732e+01,7.413964290619882824e+00
1.180000000000000077e-01,2.764111349238511785e-04,1.456265476052059782e+01,7.434015274048812572e+00
1.199999999999999956e-01,2.764164624923513055e-04,1.459047498628362760e+01,7.453447818757031662e+00
1.219999999999999973e-01,2.764103210445014672e-04,1.452522145893163596e+01,7.472221622467955626e+00
1.239999999999999991e-01,2.763974826611512842e-04,1.450655562959220291e+01,7.490612277985510659e+00
1.260000000000000009e-01,2.763809239220513941e-04,1.455601497502623332e+01,7.508563022614404225e+00
1.280000000000000027e-01,2.763614882147997836e-04,1.458621627241608465e+01,7.526262435913952942e+00
1.300000000000000044e-01,2.763351014083000002e-04,1.451427884376803590e+01,7.543402481079945154e+00
1.320000000000000062e-01,2.762997202921013869e-04,1.439566773165352842e+01,7.560098876953946778e+00
1.340000000000000080e-01,2.762649330661019992e-04,1.431958512255939198e+01,7.576623210907804662e+00
1.360000000000000098e-01,2.762446015991511174e-04,1.431691358693131733e+01,7.593402061463247144e+00
1.380000000000000115e-01,2.762396643011016039e-04,1.437980107364654359e+01,7.610366077423933895e+00
1.400000000000000133e-01,2.762365193185019004e-04,1.442906984898086975e+01,7.627223587036959351e+00
1.420000000000000151e-01,2.762238536961021196e-04,1.440979963574639910e+01,7.643559112549621837e+00
1.440000000000000169e-01,2.762019237797019920e-04,1.431784875726886597e+01,7.659379711151895087e+00
1.459999999999999909e-01,2.761724063092501182e-04,1.428258353376638823e+01,7.674774227143086769e+00
1.479999999999999927e-01,2.761386193775514628e-04,1.426369898521069857e+01,7.689871196747577464e+00
