phase,time_s,displacement_m,displacement_mm,displacement_velocity_m_s,measured_force_n,raw_contact_force_n,sim_force_n,force_error_n,kh,kd,rigid_contact_count,pair_contact_count,active_pair_contact_count,pair_stiffness_sum,pair_depth_min_m,pair_depth_max_m,top_contact_force_n,top_solver_force_n,top_rigid_contact_count,top_pair_contact_count,top_active_pair_contact_count,top_pair_stiffness_sum,top_pair_depth_min_m,top_pair_depth_max_m,bottom_contact_force_n,bottom_solver_force_n,bottom_rigid_contact_count,bottom_pair_contact_count,bottom_active_pair_contact_count,bottom_pair_stiffness_sum,bottom_pair_depth_min_m,bottom_pair_depth_max_m,shoe_vertical_velocity_m_s,shoe_abs_vertical_velocity_m_s,shoe_angular_velocity_x_rad_s,shoe_angular_velocity_y_rad_s,shoe_angular_velocity_z_rad_s,shoe_angular_velocity_norm_rad_s,shoe_free_axis_angular_velocity_rad_s,shoe_abs_free_axis_angular_velocity_rad_s,indenter_platen_stop_active,indenter_command_z_m,indenter_applied_z_m,indenter_stop_z_m
0.0,0.0,0.000274220512207,0.274220512207,4.171785728542121e-05,34.3847674727,0.0,0.0,-34.3847674727,2000000.0,250.0,31,0,0,0.0,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,0.0,25.73076117849928,0.0,31,31,30,25585.6171875,-0.007215874968096614,0.0002043553176918067,-0.0002947786415461451,0.0002947786415461451,0.0,0.0,0.0,0.0,0.0,0.0,0,0.06750286365118309,0.06750286365118309,0.0251
0.002,0.001002,0.0002742623135,0.27426231349999997,0.00022742712475048998,34.3886596474,0.0,0.0,-34.3886596474,2000000.0,250.0,31,0,0,0.0,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,0.0,25.7331179490369,0.0,31,31,30,25803.58203125,-0.00721620861440897,0.00020428417337825522,-0.0002457345835864544,0.0002457345835864544,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0675028218498901,0.0675028218498901,0.0251
0.004,0.002004,0.000274676276165,0.274676276165,0.0003883187490019979,34.3488096462,0.0,0.0,-34.3488096462,2000000.0,250.0,30,0,0,0.0,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,25.735058181845154,0.0,30,30,29,25528.119140625,-0.0072164880111813545,0.00020422376837814227,-0.0002086984895868227,0.0002086984895868227,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0675024078872251,0.0675024078872251,0.0251
0.006,0.003006,0.000275040504273,0.275040504273,0.00034402910578842927,34.2748567543,0.0,0.0,-34.2748567543,2000000.0,250.0,31,0,0,0.0,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,0.0,25.7366581654072,0.0,31,31,30,25585.931640625,-0.0072167187463492155,0.00020417369523784146,-0.0001806240907171741,0.0001806240907171741,0.0,0.0,0.0,0.0,0.0,0.0,0,0.06750204365911709,0.06750204365911709,0.0251
0.008,0.004008,0.000275365710493,0.275365710493,0.00030847892115767883,34.2268402103,0.0,0.0,-34.2268402103,2000000.0,250.0,30,0,0,0.0,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,25.738033596575903,0.0,30,30,29,25528.275390625,-0.007216914091259241,0.00020413110178196803,-0.00015922484453767538,0.00015922484453767538,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0675017184528971,0.0675017184528971,0.0251
0.01,0.00501,0.000275658696031,0.275658696031,0.0002765458857285352,34.233291694,0.0,0.0,-34.233291694,2000000.0,250.0,31,0,0,0.0,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,0.0,25.739313382049616,0.0,31,31,30,25587.119140625,-0.007217093603685498,0.0002040917388512753,-0.00014284567441791296,0.00014284567441791296,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0675014254673591,0.0675014254673591,0.0251
0.012,0.006012,0.000275919908448,0.275919908448,0.00024385118762473845,34.2425411622,0.0,0.0,-34.2425411622,2000000.0,250.0,31,0,0,0.0,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,0.0,25.740382748720336,0.0,31,31,30,25803.92578125,-0.007217245176434517,0.00020405832765391096,-0.00013013952411711216,0.00013013952411711216,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0675011642549421,0.0675011642549421,0.0251
0.014,0.007014,0.000276147373811,0.27614737381099996,0.00020895584780442067,34.2187478687,0.0,0.0,-34.2187478687,2000000.0,250.0,31,0,0,0.0,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,0.0,25.741310625791474,0.0,31,31,30,25803.974609375,-0.007217378588393331,0.00020402877271408215,-0.00012004088785033673,0.00012004088785033673,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0675009367895791,0.0675009367895791,0.0251
0.016,0.008016,0.000276338655967,0.276338655967,0.00017278274550899808,34.1971116468,0.0,0.0,-34.1971116468,2000000.0,250.0,30,0,0,0.0,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,25.742158140700038,0.0,30,30,29,25528.50390625,-0.007217501290142536,0.00020400192443048581,-0.00011218578583793715,0.00011218578583793715,0.0,0.0,0.0,0.0,0.0,0.0,0,0.06750074550742309,0.06750074550742309,0.0251
0.018,0.009018,0.000276493630433,0.276493630433,0.00013767462924149654,34.2031500319,0.0,0.0,-34.2031500319,2000000.0,250.0,31,0,0,0.0,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,0.0,25.742986475554407,0.0,31,31,30,25587.3125,-0.007217617239803076,0.0002039754399447702,-0.0001069545978680253,0.0001069545978680253,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0675005905329571,0.0675005905329571,0.0251
0.02,0.01002,0.000276614555924,0.27661455592399997,0.00010499247754491847,34.2392095395,0.0,0.0,-34.2392095395,2000000.0,250.0,30,0,0,0.0,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,25.743729687572728,0.0,30,30,29,25528.591796875,-0.0072177264373749495,0.0002039510291069746,-0.00010260781709803268,0.00010260781709803268,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0675004696074661,0.0675004696074661,0.0251
0.022,0.011022,0.000276704035358,0.27670403535800003,7.5413473053898e-05,34.2861077631,0.0,0.0,-34.2861077631,2000000.0,250.0,31,0,0,0.0,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,0.0,25.74444036758435,0.0,31,31,30,25804.12109375,-0.00721782841719687,0.00020392817532410845,-9.911203233059496e-05,9.911203233059496e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0675003801280321,0.0675003801280321,0.0251
0.024,0.012024,0.000276765684524,0.27676568452399997,5.114820159682343e-05,34.3004477731,0.0,0.0,-34.3004477731,2000000.0,250.0,30,0,0,0.0,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,25.745135452159374,0.0,30,30,29,25528.666015625,-0.007217925041913986,0.00020390646386658773,-9.665999095886946e-05,9.665999095886946e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0.06750031847886609,0.06750031847886609,0.0251
0.026,0.013026,0.000276806536354,0.276806536354,3.4527668662687194e-05,34.259070434,0.0,0.0,-34.259070434,2000000.0,250.0,31,0,0,0.0,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,0.0,25.745859979663102,0.0,31,31,30,25586.435546875,-0.007218024926260114,0.00020388385746628046,-9.460597357247025e-05,9.460597357247025e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0675002776270361,0.0675002776270361,0.0251
0.028,0.014028,0.000276834877972,0.276834877972,2.4410050399215066e-05,34.2026685012,0.0,0.0,-34.2026685012,2000000.0,250.0,31,0,0,0.0,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,0.0,25.7464790147087,0.0,31,31,30,25586.455078125,-0.007218121085315943,0.000203861876798328,-9.363929711980745e-05,9.363929711980745e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0.06750024928541809,0.06750024928541809,0.0251
0.03,0.01503,0.000276855454095,0.276855454095,1.780127894210337e-05,34.183682163,0.0,0.0,-34.183682163,2000000.0,250.0,31,0,0,0.0,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,0.0,25.747121428147835,0.0,31,31,30,25586.634765625,-0.007218209095299244,0.00020384183153510094,-9.285572014050558e-05,9.285572014050558e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0.06750022870929509,0.06750022870929509,0.0251
0.032,0.016032,0.000276870551735,0.27687055173499997,1.2948817365271426e-05,34.1864359695,0.0,0.0,-34.1864359695,2000000.0,250.0,31,0,0,0.0,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,0.0,25.74778609014472,0.0,31,31,30,25586.53515625,-0.007218304090201855,0.00020382002549013123,-9.19422454899177e-05,9.19422454899177e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0.06750021361165509,0.06750021361165509,0.0251
0.034,0.017034,0.000276881403525,0.276881403525,9.863795409181808e-06,34.1943784544,0.0,0.0,-34.1943784544,2000000.0,250.0,31,0,0,0.0,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,0.0,25.7483980508412,0.0,31,31,30,25586.70703125,-0.007218391401693225,0.0002038002130575478,-9.157054591923952e-05,9.157054591923952e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0675002027598651,0.0675002027598651,0.0251
0.036,0.018036,0.000276890318781,0.276890318781,8.383269461093024e-06,34.1821307963,0.0,0.0,-34.1821307963,2000000.0,250.0,30,0,0,0.0,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,25.748994953369603,0.0,30,30,29,25528.876953125,-0.007218479411676526,0.00020378013141453266,-9.122281335294247e-05,9.122281335294247e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0.06750019384460909,0.06750019384460909,0.0251
0.038,0.019038,0.000276898203597,0.276898203597,8.01403443112525e-06,34.1542678966,0.0,0.0,-34.1542678966,2000000.0,250.0,31,0,0,0.0,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,0.0,25.74963229347685,0.0,31,31,30,25586.626953125,-0.007218568818643689,0.00020375970052555203,-9.029104694491252e-05,9.029104694491252e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0675001859597931,0.0675001859597931,0.0251
0.04,0.02004,0.000276906378906,0.276906378906,7.956853792401297e-06,34.1615362405,0.0,0.0,-34.1615362405,2000000.0,250.0,31,0,0,0.0,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,0.0,25.750293525138318,0.0,31,31,30,25587.705078125,-0.007218662882223725,0.00020373828010633588,-9.030503133544698e-05,9.030503133544698e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0675001777844841,0.0675001777844841,0.0251
0.042,0.021042,0.000276914149132,0.276914149132,5.662778942122637e-06,34.2330760007,0.0,0.0,-34.2330760007,2000000.0,250.0,30,0,0,0.0,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,25.750897537915233,0.0,30,30,29,25528.98046875,-0.007218749029561877,0.00020371860591694713,-9.042619785759598e-05,9.042619785759598e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0.06750017001425809,0.06750017001425809,0.0251
0.044,0.022044,0.000276917727115,0.276917727115,1.0169835329143506e-06,34.2922009992,0.0,0.0,-34.2922009992,2000000.0,250.0,31,0,0,0.0,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,0.0,25.751534722748758,0.0,31,31,30,25586.73046875,-0.00721883843652904,0.00020369819685583934,-9.007978951558471e-05,9.007978951558471e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0675001664362751,0.0675001664362751,0.0251
0.046,0.023046,0.000276916187167,0.276916187167,-3.2830958083818196e-06,34.3069899832,0.0,0.0,-34.3069899832,2000000.0,250.0,30,0,0,0.0,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,25.752149091916134,0.0,30,30,29,25529.04296875,-0.007218927843496203,0.00020367778051877394,-9.015912655740976e-05,9.015912655740976e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0.06750016797622309,0.06750016797622309,0.0251
0.048,0.024048,0.000276911147791,0.276911147791,-6.004927644687186e-06,34.2782156038,0.0,0.0,-34.2782156038,2000000.0,250.0,30,0,0,0.0,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,25.752742829232677,0.0,30,30,29,25529.080078125,-0.007219013758003712,0.00020365833916002885,-8.985379827208817e-05,8.985379827208817e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0.06750017301559909,0.06750017301559909,0.0251
0.05,0.02505,0.000276904153292,0.27690415329199997,-6.816163173661849e-06,34.2564488708,0.0,0.0,-34.2564488708,2000000.0,250.0,31,0,0,0.0,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,0.0,25.753417210860224,0.0,31,31,30,25586.83203125,-0.0072191080544143915,0.0002036366713582538,-9.004097955767065e-05,9.004097955767065e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0675001800100981,0.0675001800100981,0.0251
0.052,0.026052,0.0002768974882,0.2768974882,-5.656074351267915e-06,34.2609064477,0.0,0.0,-34.2609064477,2000000.0,250.0,30,0,0,0.0,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,25.75404011686102,0.0,30,30,29,25529.14453125,-0.007219197461381555,0.00020361621864140034,-9.007353946799412e-05,9.007353946799412e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0.06750018667519009,0.06750018667519009,0.0251
0.054,0.027054,0.000276892818519,0.276892818519,-4.791148702582015e-06,34.2671559566,0.0,0.0,-34.2671559566,2000000.0,250.0,31,0,0,0.0,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,0.0,25.754642228470228,0.0,31,31,30,25804.609375,-0.007219285238534212,0.00020359640620881692,-8.978971891338006e-05,8.978971891338006e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0.06750019134487109,0.06750019134487109,0.0251
0.056,0.028056,0.000276887886738,0.276887886738,-6.567804391205412e-06,34.2869820641,0.0,0.0,-34.2869820641,2000000.0,250.0,31,0,0,0.0,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,0.0,25.75527357581354,0.0,31,31,30,25587.07421875,-0.007219373248517513,0.00020357636822154745,-8.958148100646213e-05,8.958148100646213e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0.06750019627665209,0.06750019627665209,0.0251
