phase,time_s,displacement_m,displacement_mm,force_n,position_mm_raw,force_n_raw,velocity_m_s,cycle_energy_j
0.000000000000000000e+00,0.000000000000000000e+00,2.741816712443476719e-04,2.741816712443476689e-01,3.436397384826948809e+01,1.262282466075397735e+01,-3.436397384826948809e+01,4.293301158887597542e-04,1.491560378812867505e-05
2.000000000000000042e-03,1.000222222222222224e-03,2.746110967669288514e-04,2.746110967669288527e-01,3.432644560565222491e+01,1.262239523523139617e+01,-3.432644560565222491e+01,4.022750266866881308e-04,2.966943313263609757e-05
4.000000000000000083e-03,2.000444444444444449e-03,2.749864000866217772e-04,2.749864000866217850e-01,3.426113532267991246e+01,1.262201993191170324e+01,-3.426113532267991246e+01,3.544881943284006187e-04,4.254384437415360712e-05
6.000000000000000125e-03,3.000666666666666239e-03,2.753202307058941808e-04,2.753202307058941756e-01,3.419992511663804891e+01,1.262168610129243085e+01,-3.419992511663804891e+01,3.173454131284170199e-04,5.397329855756727930e-05
8.000000000000000167e-03,4.000888888888888897e-03,2.756212319552844435e-04,2.756212319552844292e-01,3.420588702812989368e+01,1.262138510004304059e+01,-3.420588702812989368e+01,2.854146894271936130e-04,6.426959350198077397e-05
1.000000000000000021e-02,5.001111111111110688e-03,2.758911869357216816e-04,2.758911869357216773e-01,3.421763322074897928e+01,1.262111514506260335e+01,-3.421763322074897928e+01,2.537268393690006452e-04,7.350639870761279391e-05
1.200000000000000025e-02,6.001333333333332479e-03,2.761287984015066335e-04,2.761287984015066144e-01,3.420911297699898768e+01,1.262087753359681841e+01,-3.420911297699898768e+01,2.202836814046982283e-04,8.163731925509858556e-05
1.400000000000000029e-02,7.001555555555555137e-03,2.763318522023894340e-04,2.763318522023894275e-01,3.419468453978217326e+01,1.262067447979593560e+01,-3.419468453978217326e+01,1.849137143890011714e-04,8.858409964510871050e-05
1.600000000000000033e-02,8.001777777777777795e-03,2.764987080141576860e-04,2.764987080141577125e-01,3.420956550139498376e+01,1.262050762398416737e+01,-3.420956550139498376e+01,1.485177898930267748e-04,9.429165815260093632e-05
1.800000000000000211e-02,9.001999999999999585e-03,2.766289537900821333e-04,2.766289537900821216e-01,3.422929294650025156e+01,1.262037737820824290e+01,-3.422929294650025156e+01,1.133046814097427024e-04,9.874717303684774408e-05
2.000000000000000042e-02,1.000222222222222138e-02,2.767253677346133401e-04,2.767253677346133145e-01,3.426993884375792021e+01,1.262028096426371171e+01,-3.426993884375792021e+01,8.220716374593428633e-05,1.020469307284886423e-04
2.199999999999999872e-02,1.100244444444444317e-02,2.767934046540912181e-04,2.767934046540911908e-01,3.429438486429370414e+01,1.262021292734423383e+01,-3.429438486429370414e+01,5.783129975345246976e-05,1.043771269682380816e-04
2.400000000000000050e-02,1.200266666666666496e-02,2.768410560369201140e-04,2.768410560369201079e-01,3.427564487868676935e+01,1.262016527596140492e+01,-3.427564487868676935e+01,4.159622375932148231e-05,1.060093384249082628e-04
2.600000000000000228e-02,1.300288888888888848e-02,2.768766155888204884e-04,2.768766155888204850e-01,3.423874595487072270e+01,1.262012971640950454e+01,-3.423874595487072270e+01,3.136304693496239082e-05,1.072266655550864050e-04
2.800000000000000058e-02,1.400311111111111027e-02,2.769037960699218979e-04,2.769037960699218814e-01,3.422025897728187260e+01,1.262010253592840314e+01,-3.422025897728187260e+01,2.348477209282440192e-05,1.081567027463735029e-04
2.999999999999999889e-02,1.500333333333333206e-02,2.769235955706826060e-04,2.769235955706825791e-01,3.419175720467701041e+01,1.262008273642764244e+01,-3.419175720467701041e+01,1.720927070428257544e-05,1.088329530298109700e-04
3.200000000000000067e-02,1.600355555555555559e-02,2.769382222598952862e-04,2.769382222598952836e-01,3.417582846670420338e+01,1.262006810973842974e+01,-3.417582846670420338e+01,1.329591547816200148e-05,1.093315091903841936e-04
3.400000000000000244e-02,1.700377777777777738e-02,2.769501933109346252e-04,2.769501933109346226e-01,3.416234139076564702e+01,1.262005613868739040e+01,-3.416234139076564702e+01,1.092855737744313771e-05,1.097399569490163673e-04
3.600000000000000422e-02,1.800399999999999917e-02,2.769600842317867791e-04,2.769600842317867517e-01,3.412449099708816647e+01,1.262004624776653827e+01,-3.412449099708816647e+01,8.941049393001998524e-06,1.100786386217833296e-04
3.799999999999999906e-02,1.900422222222222096e-02,2.769680793835203143e-04,2.769680793835203048e-01,3.411902533728211040e+01,1.262003825261480472e+01,-3.411902533728211040e+01,6.958651969674045645e-06,1.103532214576844714e-04
