phase,time_s,displacement_m,displacement_mm,force_n,position_mm_raw,force_n_raw,velocity_m_s,cycle_energy_j
0.000000000000000000e+00,0.000000000000000000e+00,2.744782366574512146e-04,2.744782366574511911e-01,3.447833878270064645e+01,1.261467002717879993e+01,-3.447833878270064645e+01,3.716599062997302913e-04,1.472312509065434976e-05
2.000000000000000042e-03,1.000000000000000454e-03,2.748498965637509450e-04,2.748498965637509173e-01,3.447689370594203240e+01,1.261429836727250020e+01,-3.447689370594203240e+01,3.515584152750939051e-04,2.753787970275457472e-05
4.000000000000000083e-03,2.000000000000000909e-03,2.751813534880014501e-04,2.751813534880014345e-01,3.444441043866409302e+01,1.261396691034824968e+01,-3.444441043866409302e+01,3.144831336250042408e-04,3.896197213749105282e-05
6.000000000000000125e-03,3.000000000000001363e-03,2.754788628310009908e-04,2.754788628310009813e-01,3.441763618940870373e+01,1.261366940100525014e+01,-3.441763618940870373e+01,2.814648966493749072e-04,4.920864883217629404e-05
8.000000000000000167e-03,4.000000000000001818e-03,2.757442832813001860e-04,2.757442832813001843e-01,3.439216069760790617e+01,1.261340398055495093e+01,-3.439216069760790617e+01,2.476596311992984578e-04,5.834508815636848774e-05
1.000000000000000021e-02,5.000000000000002706e-03,2.759741820933996146e-04,2.759741820933996337e-01,3.433689654186325413e+01,1.261317408174285148e+01,-3.433689654186325413e+01,2.102682331752980804e-04,6.625144223448941173e-05
1.200000000000000025e-02,6.000000000000002727e-03,2.761648197476507488e-04,2.761648197476507249e-01,3.424434553824306704e+01,1.261298344408860039e+01,-3.424434553824306704e+01,1.714826945011793669e-04,7.279335105181270653e-05
1.400000000000000029e-02,7.000000000000003615e-03,2.763171474824019868e-04,2.763171474824019924e-01,3.419600993385614629e+01,1.261283111635384913e+01,-3.419600993385614629e+01,1.370257344754932660e-04,7.800829128256141448e-05
1.600000000000000033e-02,8.000000000000003636e-03,2.764388712166017349e-04,2.764388712166017115e-01,3.420686234037116691e+01,1.261270939261964941e+01,-3.420686234037116691e+01,1.115955527746237408e-04,8.217161468593592321e-05
1.800000000000000211e-02,9.000000000000004524e-03,2.765403385879512200e-04,2.765403385879512399e-01,3.425438038319138201e+01,1.261260792524829988e+01,-3.425438038319138201e+01,9.117625272470064601e-05,8.564495156094812842e-05
2.000000000000000042e-02,1.000000000000000541e-02,2.766212237220511453e-04,2.766212237220511683e-01,3.429601428669450058e+01,1.261252704011420001e+01,-3.429601428669450058e+01,6.734941657440818297e-05,8.841742835841524394e-05
