# variant protocol hard_stretch_shear gamma hw ref_hw rel_err segment_error frames max_qd settle_rel_delta force_rel gravity width height validation_gate status
soft_quasistatic quasistatic 0 0.03 0.003608329 0.0037499657 0.037770133 3.0954348e-06 0 0 0 0.0047683723 -0.10493733 0.99999438 0.0036083087 1 1
soft_quasistatic quasistatic 0 0.1 0.012040099 0.0124995 0.03675352 7.7606707e-06 0 0 0 0.0014305778 -0.3497911 0.9999207 0.012039145 1 1
soft_quasistatic quasistatic 0 0.3 0.036120823 0.037487656 0.036460895 4.8374796e-05 0 0 0 0.00048245005 -1.0493733 0.99927306 0.036094565 1 1
soft_quasistatic quasistatic 0 1 0.12008685 0.1245622 0.035928632 0.00050224292 0 0 0 0.00015138751 -3.497911 0.99203476 0.11913033 1 1
soft_quasistatic quasistatic 0 3 0.35188719 0.36455744 0.034755154 0.004194313 0 0 0 0.00028361512 -10.493733 0.93727773 0.32981603 1 1
soft_quasistatic quasistatic 0 10 1.0399232 1.0668 0.025193851 0.031152408 0 0 0 0.00016936328 -34.97911 0.67625162 0.70324975 1 1
soft_dynamic dynamic 0 0.03 9.9895696e-05 0.0037499657 0.9733609 1.192093e-07 800 2.3708306e-05 0.00044067928 nan -0.10493733 1 9.9895697e-05 0 0
soft_dynamic dynamic 0 0.1 0.0073750154 0.0124995 0.40997516 2.2006555e-05 600 3.5576475e-05 0 nan -0.3497911 0.9999582 0.0073747071 0 0
soft_dynamic dynamic 0 0.3 0.036084859 0.037487656 0.037420251 6.3313641e-05 600 4.2503103e-05 0 nan -1.0493733 0.99928338 0.036059 0 1
soft_dynamic dynamic 0 1 0.11925131 0.1245622 0.042636453 0.00047398291 700 4.2228679e-05 0 nan -3.497911 0.99213208 0.11831305 1 1
soft_dynamic dynamic 0 3 0.35184996 0.36455744 0.034857281 0.0041664763 700 4.2137952e-05 0.00051195226 nan -10.493733 0.9372664 0.32977715 1 1
soft_dynamic dynamic 0 10 1.0400733 1.0668 0.025053168 0.031127157 600 0.00089561479 0.00053683939 nan -34.97911 0.67614434 0.70323966 1 1
hard_dynamic dynamic 1 0.03 9.9895696e-05 0.0037499657 0.9733609 1.192093e-07 800 2.3708306e-05 0.00044067928 nan -0.10493733 1 9.9895697e-05 0 0
hard_dynamic dynamic 1 0.1 0.0073849132 0.0124995 0.4091833 9.7387173e-07 600 3.8869759e-05 1.0467464e-05 nan -0.3497911 0.99996958 0.0073846886 0 0
hard_dynamic dynamic 1 0.3 0.037031218 0.037487656 0.012175684 1.8822157e-06 600 4.5453104e-05 1.7417446e-05 nan -1.0493733 0.99920306 0.037001707 0 1
hard_dynamic dynamic 1 1 0.11911573 0.1245622 0.043724952 2.4344897e-05 700 4.1461859e-05 7.8826626e-06 nan -3.497911 0.99187762 0.11814822 1 1
hard_dynamic dynamic 1 3 0.35231222 0.36455744 0.033589287 0.00022086556 700 4.1465326e-05 0.00096097575 nan -10.493733 0.93485599 0.32936119 1 1
hard_dynamic dynamic 1 10 1.0432728 1.0668 0.022053991 0.0023819199 600 0.0016666712 5.7142824e-05 nan -34.97911 0.66306614 0.69175887 1 1
