# Gamma=0.1 ref_hw=0.0124995
# N iters hw ref_hw rel_err seg_err force_rel converged
16 80000 0.011711511 0.0124995 0.063041601 5.1036477e-07 0.0025002629 0
24 80000 0.011963772 0.0124995 0.042859953 1.2821051e-06 0.0017877337 0
32 80000 0.012081843 0.0124995 0.033413885 1.4664132e-06 0.0042880318 0
48 80000 0.012173814 0.0124995 0.026055934 2.3224165e-06 0.0014317613 0
64 80000 0.012205421 0.0124995 0.023527239 1.9270488e-06 0.0014314348 0
# monotone=1

# Gamma=10 ref_hw=1.0668
# N iters hw ref_hw rel_err seg_err force_rel converged
16 10000 0.99109663 1.0668 0.07096304 1.4702818e-06 0.00010473604 1
24 15000 1.0145792 1.0668 0.048950874 2.1349259e-06 0.00016322639 1
32 20000 1.0262058 1.0668 0.038052351 2.6246546e-06 0.00014576388 1
48 25000 1.0306231 1.0668 0.033911585 6.7270531e-06 0.00049853693 1
64 35000 1.0369247 1.0668 0.028004579 5.0911897e-06 0.00031609884 1
# monotone=1

