# run_stats frames_run=1000 converged=1 stable_checks=2 max_coplanarity_delta=0.00065527004 label_changes=0
# x x_target phi/(2*pi) kappa length num_segments coplanarity coplanar master_phi classification_ok rechecked branch_coplanarity recheck_coplanarity
0.10519117 0.1 0.12589254 2 0.39550308 15 5.3633514e-08 1 8.7939305 1 0 5.3633514e-08 nan
0.13650175 0.13195079 0.12589254 1.5157166 0.52186945 15 4.1742206e-08 1 5.8807389 1 0 4.1742206e-08 nan
0.17774637 0.17411011 0.12589254 1.1486984 0.68861086 15 1.6723758e-08 1 3.8921989 1 0 1.6723758e-08 nan
0.23211226 0.22973967 0.12589254 0.87055056 0.90862748 15 1.0438107e-08 1 2.6303195 1 0 1.0438107e-08 nan
0.30380317 0.30314331 0.12589254 0.65975396 1.1989411 15 7.7464828e-09 1 1.6160101 1 0 7.7464828e-09 nan
0.39836411 0.4 0.12589254 0.5 1.5820123 15 1.311263e-08 1 0.92077317 1 0 1.311263e-08 nan
0.10092846 0.1 0.29853826 2 0.93788561 15 4.1270658e-09 1 9.4622611 1 0 4.1270658e-09 nan
0.13213207 0.13195079 0.29853826 1.5157166 1.2375475 15 5.6933396e-09 1 6.2092803 1 0 5.6933396e-09 nan
0.17329079 0.17411011 0.29853826 1.1486984 1.6329537 15 3.6700036e-09 1 4.0186621 1 0 3.6700036e-09 nan
0.22758857 0.22973967 0.29853826 0.87055056 2.1546953 15 8.9815871e-09 1 2.6980774 1 0 8.9815871e-09 nan
0.29922601 0.30314331 0.29853826 0.65975396 2.8431375 15 6.2800843e-07 1 1.6576029 1 0 6.2800843e-07 nan
0.3937453 0.4 0.29853826 0.5 3.7515424 15 6.0507235e-06 1 0.92818811 1 0 6.0507235e-06 nan
0.09901797 0.1 0.70794578 2 2.2240773 15 3.2973976e-07 1 9.6907975 1 0 3.2973976e-07 nan
0.13019965 0.13195079 0.70794578 1.5157166 2.9346876 15 8.7985091e-06 1 6.460844 1 0 8.7985091e-06 nan
0.17134131 0.17411011 0.70794578 1.1486984 3.8723434 15 3.9699347e-08 1 4.1080341 1 1 0.00012127014 3.9699347e-08
0.22713747 0.22973967 0.70794578 0.87055056 5.1095878 19 3.1989402e-10 1 2.7046633 1 1 0.00013625192 3.1989402e-10
0.30102902 0.30314331 0.70794578 0.65975396 6.7421415 25 4.278013e-09 1 1.6414377 1 1 0.00036490602 4.278013e-09
0.39876351 0.4 0.70794578 0.5 8.8963091 34 1.2531687e-09 1 0.9201587 1 1 0.0014884924 1.2531687e-09
0.098974576 0.1 1.678804 2 5.2741184 20 5.9433899e-06 1 9.695069 1 1 0.0010930149 5.9433899e-06
0.13110841 0.13195079 1.678804 1.5157166 6.9592409 26 4.8087129e-08 1 6.3653959 1 1 0.023135785 4.8087129e-08
0.17361809 0.17411011 1.678804 1.1486984 9.1827734 35 4.7706447e-06 1 4.0064264 1 1 0.055138337 4.7706447e-06
0.22969602 0.22973967 1.678804 0.87055056 12.116742 47 3.2174562e-06 1 2.6673095 1 1 0.052263584 3.2174562e-06
0.30361545 0.30314331 1.678804 0.65975396 15.988137 62 0.039496307 0 1.617745 1 0 0.039496307 nan
0.40122516 0.4 1.678804 0.5 21.096473 83 0.027487496 0 0.9171013 1 0 0.027487496 nan
0.10001899 0.1 3.9810717 2 12.506906 49 4.6385685e-06 1 9.5852457 1 1 0.13102411 4.6385685e-06
0.13220704 0.13195079 3.9810717 1.5157166 16.502961 65 2.2014572e-06 1 6.197689 1 1 0.11408702 2.2014572e-06
0.17467384 0.17411011 3.9810717 1.1486984 21.775787 86 0.092060058 0 3.9759176 1 0 0.092060058 nan
0.23069097 0.22973967 3.9810717 0.87055056 28.733324 113 0.067907799 0 2.6527837 1 0 0.067907799 nan
0.30463745 0.30314331 3.9810717 0.65975396 37.913848 150 0.045553483 0 1.6082825 1 0 0.045553483 nan
0.40221152 0.4 3.9810717 0.5 50.027622 199 0.027945453 0 0.91587622 1 0 0.027945453 nan
