# run_stats frames_run=1000 converged=1 stable_checks=2 max_coplanarity_delta=0.00075271431 label_changes=0
# x x_target phi/(2*pi) kappa length num_segments coplanarity coplanar master_phi classification_ok rechecked branch_coplanarity recheck_coplanarity
0.10519117 0.1 0.12589254 2 0.39550308 15 1.2344141e-08 1 8.7939305 1 0 1.2344141e-08 nan
0.13650175 0.13195079 0.12589254 1.5157166 0.52186945 15 1.4991578e-08 1 5.8807389 1 0 1.4991578e-08 nan
0.17774637 0.17411011 0.12589254 1.1486984 0.68861086 15 1.3958359e-08 1 3.8921989 1 0 1.3958359e-08 nan
0.23211226 0.22973967 0.12589254 0.87055056 0.90862748 15 2.8314217e-09 1 2.6303195 1 0 2.8314217e-09 nan
0.30380317 0.30314331 0.12589254 0.65975396 1.1989411 15 1.1384123e-09 1 1.6160101 1 0 1.1384123e-09 nan
0.39836411 0.4 0.12589254 0.5 1.5820123 15 1.4994697e-09 1 0.92077317 1 0 1.4994697e-09 nan
0.10092846 0.1 0.29853826 2 0.93788561 15 1.0500939e-10 1 9.4622611 1 0 1.0500939e-10 nan
0.13213207 0.13195079 0.29853826 1.5157166 1.2375475 15 3.6053096e-10 1 6.2092803 1 0 3.6053096e-10 nan
0.17329079 0.17411011 0.29853826 1.1486984 1.6329537 15 2.1446871e-09 1 4.0186621 1 0 2.1446871e-09 nan
0.22758857 0.22973967 0.29853826 0.87055056 2.1546953 15 8.6798516e-08 1 2.6980774 1 0 8.6798516e-08 nan
0.29922601 0.30314331 0.29853826 0.65975396 2.8431375 15 6.1875942e-06 1 1.6576029 1 0 6.1875942e-06 nan
0.3937453 0.4 0.29853826 0.5 3.7515424 15 3.4433143e-05 1 0.92818811 1 0 3.4433143e-05 nan
0.09901797 0.1 0.70794578 2 2.2240773 15 5.1495799e-07 1 9.6907975 1 0 5.1495799e-07 nan
0.13019965 0.13195079 0.70794578 1.5157166 2.9346876 15 4.1438261e-05 1 6.460844 1 0 4.1438261e-05 nan
0.17134131 0.17411011 0.70794578 1.1486984 3.8723434 15 1.4313642e-08 1 4.1080341 1 1 0.0003905058 1.4313642e-08
0.22713747 0.22973967 0.70794578 0.87055056 5.1095878 19 7.6638176e-09 1 2.7046633 1 1 0.00026970477 7.6638176e-09
0.30102902 0.30314331 0.70794578 0.65975396 6.7421415 25 1.2569755e-07 1 1.6414377 1 1 0.0026118879 1.2569755e-07
0.39876351 0.4 0.70794578 0.5 8.8963091 34 8.6684908e-06 1 0.9201587 1 1 0.0012022871 8.6684908e-06
0.098974576 0.1 1.678804 2 5.2741184 20 1.1860174e-05 1 9.695069 1 1 0.0068036298 1.1860174e-05
0.13110841 0.13195079 1.678804 1.5157166 6.9592409 26 8.8998125e-06 1 6.3653959 1 1 0.11898723 8.8998125e-06
0.17361809 0.17411011 1.678804 1.1486984 9.1827734 35 2.6373203e-06 1 4.0064264 1 1 0.093415441 2.6373203e-06
0.22969602 0.22973967 1.678804 0.87055056 12.116742 47 1.1869769e-05 1 2.6673095 1 1 0.064965809 1.1869769e-05
0.30361545 0.30314331 1.678804 0.65975396 15.988137 62 0.044333968 0 1.617745 1 0 0.044333968 nan
0.40122516 0.4 1.678804 0.5 21.096473 83 0.029045947 0 0.9171013 1 0 0.029045947 nan
0.10001899 0.1 3.9810717 2 12.506906 49 9.48222e-06 1 9.5852457 1 1 0.17551541 9.48222e-06
0.13220704 0.13195079 3.9810717 1.5157166 16.502961 65 2.6670588e-05 1 6.197689 1 1 0.14244122 2.6670588e-05
0.17467384 0.17411011 3.9810717 1.1486984 21.775787 86 0.10597748 0 3.9759176 1 0 0.10597748 nan
0.23069097 0.22973967 3.9810717 0.87055056 28.733324 113 0.070640125 0 2.6527837 1 0 0.070640125 nan
0.30463745 0.30314331 3.9810717 0.65975396 37.913848 150 0.047056327 0 1.6082825 1 0 0.047056327 nan
0.40221152 0.4 3.9810717 0.5 50.027622 199 0.030227409 0 0.91587622 1 0 0.030227409 nan
